PLX,SMTI,SCWO,EPM,CMCL,FSI,EGY,VGZ,DGX,LXU,ORKA,FORR,PRDO,ESE,POOL,ATLO,FLO,FNLC,FNWD,NEE,TEF
0,0,0.66666626,0,0,0,0,0,-0.002083534,-0.125000284,0.024,-0.032319288,-0.01754386,0.021621573,-0.019002905,0,-0.024390014,0,0,0.01818187,-0.066450543
0,0,-0.199999561,0.235294009,0,0,0,-0.25,-0.008350955,0.190476646,0.0390625,-0.015717207,-0.007142857,0.010581811,0,0,0.004166194,-0.027541421,0,0.032738135,-0.002604362
0,0,0,1.952381236,0,0,0,0,0.004210598,-0.120000167,0.172932331,-0.041916194,-0.003597122,-0.010471009,-0.046004835,0,-0.020746189,-0.015624876,0,0,-0.014795465
0,0,0.249999313,-0.396774285,0,0,-0.10080002,0.333333333,0.039832546,0,0.461538462,0.033333344,0.010830325,-0.005290994,-0.005076175,0,-0.029661482,0,0,0.028818324,0.026501741
0,0,0,0,0,0,0,-0.25,0.018145145,0,0.254385965,-0.01008051,-0.010714286,0.010638363,0.007652919,0,0.004367059,0,0,-0.008403627,0.015490412
0,1,0,-0.165775163,0.500000156,0,0,0,-0.001980468,0,-0.188811189,-0.020366863,-0.014440433,-0.005263234,-0.012657867,0,-0.017391218,0,-0.034883684,-0.011299178,-0.026271055
0,0,0,0.198717607,-0.333333403,0,0.112099668,0,-0.003968243,0,-0.068965517,-0.049895717,-0.007326007,0,-0.030769552,0,0.00442461,0.015872888,0,0.021428608,0.002611163
0,-0.25,0,-0.165775163,0.500000156,0,-0.10080002,0.333333333,0.037848775,-0.022726914,-0.118055556,-0.00765873,0.007380074,0.068783182,-0.031745842,0,-0.008810737,0,0,-0.009790503,0.011284474
0,0.666666667,0.100000513,0,-0.333333403,0,0.055160197,-0.25,-0.044145778,0,0.070866142,-0.007717838,-0.003663004,0.009900885,0.060109604,0,-0.035555388,0,0,-0.01836098,0.058369291
-0.857142857,0.6,0.272727212,0,0,0,0,0,0.018072353,-0.116278749,0.014705882,-0.048888954,-0.003676471,0.029411945,-0.005155253,0,0.023041558,0,0,-0.024461214,0.034063108
5,0.5,2.142856769,0.089743435,0,0,0,0.333333333,-0.005917494,0,0.190821256,-0.028037415,0,0.023809388,-0.020725267,0,0,0,0,0.023599408,-0.013333394
-0.333333333,-0.083333333,0.09090903,-0.047058881,0,0,0,-0.25,0.00595272,0.157893892,0.012170385,-0.105769019,0,-0.009302382,-0.005290974,0,-0.063063472,0.015624988,0,-0.01152721,-0.020667488
0,0.454545455,0.125,-0.074073962,0.500000156,0,0,0.333333333,0,0,0.088176353,0.056451435,0.007380074,-0.018779458,0,0,-0.028845253,-0.015384604,0,0.026239286,-0.017857389
0,0.5,0,0.246666411,-0.333333403,0,-0.052276609,-0.125,0.00197242,-0.136363006,0.082872928,0.170483638,-0.010989011,0.023923634,0.061170146,0,-0.004950958,-0.015624876,0,-0.005682322,-0.023966882
0,0.041666667,0.111111111,-0.304812636,0.500000156,0,0,0.142857143,0.009842292,-0.026316334,0.12244898,-0.008695715,0.018518519,0.051401831,-0.00501225,0,-0.009950246,0,0.024096558,-0.034285418,0.001693409
0,-0.16,0.033333374,0,-0.333333403,0,0,0,0.122807621,0,-0.115151515,0.076754428,-0.018181818,-0.008888869,0.04282086,0,0,0,0,0.002957821,0.032967138
0,0.047619048,0,0,0.500000156,0,0,0,-0.083333454,0,-0.073630137,0.032586332,-0.014814815,0,0.019323981,0,-0.005024745,0,0.023529187,-0.020648373,0.027823367
0,-0.090909091,-0.161290395,0.676923117,0,0,0,0,0.018939254,0,-0.068391867,-0.021696172,0,-0.008968515,-0.014218159,0,-0.005050978,0,0,-0.004518163,-0.035031841
0,0,-0.230769242,0,-0.333333403,0,0,0,0.011152158,-0.027026529,0.005952381,-0.064516149,0.026315789,0.013574403,-0.002403681,0,-0.010152091,-0.015873001,-0.022988292,0.02118056,0.003300191
