CHRD,SOBR,INLX,BRTX,PRTG,UGRO,EQ,UONE,MCRB,FTEK,CVGI,CLF,BECN,RRX
0.071651095,0.066666667,0,4.040000153,0,0,0.075794604,0,-0.023880575,-0.010869555,-0.023474194,-0.002551034,0.008466618,-0.009700847
0.052325531,-0.0625,0.142857143,-0.595238115,0.136363636,0,-0.00454545,0.091836767,0.003058101,0.032967001,-0.024038401,-0.003836306,0.016791073,-0.004897938
0.002762494,-0.106666667,0,-0.147058826,-0.04,0,0.006849254,-0.070093499,-0.027438998,0.042553214,-0.003284069,0.026957624,0.06483177,-0.005390825
-0.066115703,0,-0.125,-0.287356328,0,0,0.024943342,0.075376932,-0.021943627,0,0.014826964,-0.008750016,0.008328573,0.009897447
-0.008849619,0.029850746,0,0.596774181,-0.083333333,0,-0.011061989,0.032710248,-0.003205125,-0.020408204,-0.025974002,-0.021437539,-0.014240957,0.006417023
-0.035714253,-0.15942029,0,-0.313131267,-0.045454545,0,-0.017897075,-0.085972875,-0.077170424,0.010416719,0,-0.020618602,0.000288885,-0.007419422
-0.033950585,0.034482759,0,-0.088235348,-0.133333333,0,0.045558153,0.034653433,0.041811892,-0.020618598,0,0,0.001733142,0.016234517
0,0,0,-0.112903199,0.263736264,0,0.015250478,-0.0622009,0.033444784,-0.031578918,-0.00666666,0.039473702,0.003460177,-0.002988187
-0.003194961,-0.216666667,0,-0.181818182,-0.173913043,0,-0.03218876,0,0.05825245,-0.010869555,-0.006711403,-0.012658172,0.019540239,-0.006455303
-0.025641002,-0.085106383,0,-0.111111111,0.157894737,0,0.022172927,0.040816287,0.064220196,0.010989,0.023648626,0.003846081,0.023111604,0.00788955
-0.023026294,-0.069767442,0.142857143,-0.125,-0.172727273,0,0.002169144,0,-0.014367802,-0.010869555,0.001650203,0.007662814,-0.014876059,-0.004029079
-0.067340083,0.125,0,-0.171428544,0.208791209,0,-0.045454555,-0.019607825,-0.002915449,-0.010989066,-0.021416822,-0.039290235,0.013422913,-0.013176138
-0.061371869,-0.111111111,0,0.310344768,-0.072727273,0,-0.061224488,0.034999967,0.008771921,0.011111167,-0.033670082,0.022427464,-0.001379775,-0.008784259
-0.046153804,0,0,-0.236842071,0.176470588,0.24999995,0.033816509,0,0.020289835,0.010989,-0.019163704,-0.038709694,-0.004421107,-0.004726384
-0.032258034,-0.025,0,-0.241379319,0.25,-0.066666683,0.191588704,0,-0.110795417,0,-0.024866846,-0.009395925,-0.039411552,-0.011872254
-0.070833362,0,-0.125,-0.227272722,-0.133333333,0,-0.009803866,0.009661827,0.028753965,-0.021739174,-0.038251288,-0.020325212,-0.024270446,-0.02703352
0.031390104,0,0,-0.117647084,-0.076923077,0,-0.009901027,0,0,0.044444469,0.00757575,-0.009681898,-0.007106949,0.008891005
-0.039130398,-0.076923077,0,-0.066666683,-0.041666667,-0.142857094,-0.002000046,0,0.024844697,-0.053191502,-0.020676716,0.004189932,-0.008052504,-0.007711105
0.031674177,0,0,-0.214285684,0.043478261,0,-0.044088136,0,0.012121201,-0.022471889,-0.00191943,0,0.007817262,0.007647746
-0.013157882,0.083333333,0,-0.090909111,-0.041666667,0.041666625,-0.041928681,-0.08612438,-0.023952074,-0.045977036,-0.040384624,-0.023643907,-0.012231499,-0.039539763
-0.00444444,0.179487179,0,0,0,-0.039999962,-0.017505557,0.020942451,0.055214745,0,-0.026052033,0.035612481,-0.018725428,-0.000127481
-0.008928563,0.260869565,0.142857143,-0.100000024,0.130434783,-0.08333335,-0.042316167,0,0.026162765,0.036144616,0.024691334,0.035763467,0.017235997,0.081325751
0.099099111,-0.051724138,0,-0.111111074,0.061538462,0,0.109302272,0.087179402,0.03399437,0.011627896,0.036144544,0.039840589,0.058699016,0.015088987
-0.008196713,0.254545455,0,-0.375000009,0.086956522,0.090909111,-0.014675088,-0.023584884,0.00821917,0,0.007751931,-0.015325628,0,-0.003019419
-0.020661235,0,0,-0.199999988,-0.1,0,0.023404285,0.048309249,-0.043478283,0,-0.051923075,-0.020752253,-0.03229497,-0.000815372
-0.059071676,-0.144927536,0,0,-0.022222222,0,0.00207905,-0.023041562,0.04545457,-0.022988484,-0.016227166,-0.00927154,0.003248689,-0.001515473
0,0,0,0.249999981,0.060606061,0,0.026970878,0.009434066,-0.010869555,0.011764694,0.032989758,0.029411725,0.024727705,0.020899018
-0.031390104,0,0,-0.199999988,0,0,0.002020248,-0.074766392,-0.010989066,-0.011627896,0.011976036,-0.015584435,0.025854573,0.026761165
-0.00925925,-0.237288136,0,0.249999981,0,0,0.004032254,0,-0.011111101,0.023529389,-0.047337325,0.007915609,-0.010921294,-0.003341451
-0.014018789,-0.111111111,0,0,0.071428571,0,-0.002008078,0,-0.014044931,0.011494242,-0.004140783,-0.032722527,0.007927485,-0.004917327
-0.004739332,-0.175,0,-0.199999988,-0.066666667,0,0.018108683,0.025252501,0.031339002,0.022727251,-0.004158,0.010825431,0.004775337,-0.00662628
0.038095317,0,0,-0.249999981,-0.107142857,-0.1666667,-0.005928801,0,-0.002762428,-0.022222202,-0.018789176,0.01740294,0.010343834,-0.00361786
0,0,0.125,-0.33333335,0,0,0.009940301,0,0.055401677,0.034090944,0.019148969,-0.053947367,-0.012174838,0.015885641
-0.045871624,0.212121212,0,0.500000037,-0.04,0.149999976,0.009842557,0.059113362,0.002624669,-0.043956066,0.035490622,-0.013908145,-0.061064433,0.001563715
-0.096153815,0.25,-0.111111111,0,0.166666667,0,0.072124732,-0.023255902,-0.07853402,-0.034482794,-0.050403225,-0.04936539,-0.039081186,-0.031337098
-0.058510646,0,0,-0.33333335,0,0,-0.025454521,-0.042857104,-0.04545457,-0.011904751,-0.040339715,-0.04154296,-0.06240293,-0.042597248
-0.067796614,-0.1,0,0,0,0,-0.009328394,0.019900479,0.062500013,0,-0.011061989,-0.017027916,-0.004635804,-0.009379586
-0.109090879,0,-0.5,0,-0.071428571,-0.130434765,-0.041431223,-0.043902398,-0.042016767,-0.012048182,-0.067114033,-0.097637779,-0.031603422,-0.03119689
0.115646227,0,1.75,0,-0.038461538,0,-0.055009863,0,-0.081871335,-0.024390221,0.045563562,0.013961595,0.020267954,-0.027189553
-0.06707318,-0.111111111,-0.181818182,0,0.04,0.179999948,0.060291053,0.020408143,0.028662392,0,-0.057339448,0.018932933,0.050505049,0.041988693
-0.058823474,0,0,0,0.076923077,0,-0.060784304,-0.045000017,0.043343612,0.012499988,-0.00973235,-0.062499959,-0.038461562,-0.015080361
-0.083333333,0,0,0.500000037,-0.071428571,-0.152542335,0.020876807,0,0.086053475,-0.012345667,0.009828,0.030630484,0.03799998,0.018323282
-0.037878841,0,0,0,0.153846154,0,-0.020449879,0,-0.032786918,-0.037500038,-0.094890533,-0.045454449,-0.055555542,-0.035740714
-0.322834624,0.125,-0.111111111,0,-0.08,0,0.073068874,0.020942451,-0.005649712,-0.025974002,-0.032258098,-0.051282142,-0.073104374,-0.02786299
-0.616279061,0,0,0,-0.130434783,0,-0.173151729,-0.010256461,-0.099431792,-0.173333327,-0.102777749,-0.10231654,-0.164710188,-0.108072594
0.242424182,0,-0.125,0.3333333,0,0,-0.152941199,-0.129533682,-0.047318641,0.096774197,0.037151667,0.036559176,0.089152338,0.086822042
-0.048780514,-0.088888889,0.142857143,-0.249999981,-0.083333333,0,-0.027777752,-0.035714253,-0.125827774,-0.102941165,-0.098507443,-0.068464837,-0.131451549,-0.016953749
-0.051282004,0,0.25,0,-0.090909091,-0.449999988,-0.00571428,0.037037002,0.132575716,-0.21311479,-0.009933765,-0.095768346,-0.21309192,-0.125965845
1.702702668,0,0,0,0.25,0,-0.14367816,-0.083333327,0.076923083,-0.020833314,0.010033435,0.199507375,0.089085443,0.066456183
-0.580000013,0.097560976,0,0.3333333,-0.12,0,-0.187919443,0.045454581,-0.155279502,0.127659516,-0.165562915,-0.182751468,-0.119718266,-0.095618699
0,0,0,0,-0.090909091,0,0.342975164,-0.043478293,0.147058769,-0.188679188,-0.087301599,0.03517582,-0.005538471,0.125204611
-0.166666655,0.311111111,0,0,0,0,-0.089230757,0,-0.096153834,-0.023255861,-0.321739141,-0.242718437,-0.080445557,-0.164654541
0.22857147,-0.237288136,-0.2,-0.249999981,0,0,0.331081083,0,0.141844009,0.023809573,0.250000076,0.089743598,0.106325768,0.029601267
-0.046511652,0,-0.98,0,-0.1,0,-0.180203053,-0.019480501,-0.037267119,-0.023255861,-0.082051324,-0.061764675,-0.15815087,-0.024860497
-0.073170735,0,0,-0.33333335,-0.055555556,0,-0.133126955,-0.218543076,0.096774258,0.071428576,-0.111731806,-0.0376176,-0.139450888,-0.078563975
0,0,0,-0.5,0,0,-0.178571432,-0.033898274,0.038235257,-0.044444403,-0.119496889,0.149837137,0.290512182,0.07585166
-0.026315765,0,0,0,0.058823529,0,0.152173978,0.096491242,-0.028328585,-0.069767443,0.30714291,0.059490125,0.196486632,0.058607391
-0.081081083,-0.222222222,0,0,0.111111111,-0.07272731,0.033962231,0.2,0.020408143,0.199999955,0.1038251,0.040106968,0.016857063,0.039332361
-0.117647033,0,0,1,0,0,-0.043795666,-0.213333368,-0.019999981,-0.104166632,-0.222772244,-0.023136306,-0.152941203,-0.05819685
0,0,0,0,-0.1,0,-0.007633581,0.06779665,0.078717194,-0.069767443,-0.038216599,-0.042105231,0.010101,0.033766673
0.1666666,0,0,-0.5,0.011111111,0,0.042307745,-0.158730198,-0.035135166,0,0,0.085164817,0.033750057,0.028090825
-0.171428581,0,0,0,-0.010989011,0,-0.084870855,0.198113254,-0.078431366,0,-0.013245021,-0.0379747,-0.090689291,-0.043526635
0.172413839,0,0,0,0,0,-0.012096763,0.015748017,-0.039513641,-0.02500005,-0.073825512,0,-0.00398939,0.026739755
0.117647033,0,0,1,0,0,-0.044898013,-0.015503862,-0.037974722,0.025641079,-0.04347822,0.005347588,-0.111481921,-0.06421872
-0.105263137,0,0,0,0.1,0,0.025641104,0,0.092105255,0,0.113636341,0.077127713,0.202854976,0.131720016
-0.088235297,-0.028571429,0,0,-0.04040404,0,-0.012500087,-0.062992067,-0.048192726,0.024999976,-0.061224511,0.012345608,-0.018113676,0.014968622
0.032258034,0.176470588,25.87500179,0,0,0,0.025316533,-0.109243788,0.056961969,0.073170735,0.152173941,0.058536647,0.049618303,0.0615501
0.062500035,0.05,0.395348775,-0.5,0.042105263,0,0.041152223,0.122641624,0.014970117,-0.068181821,0.044025114,0.064516065,0.129090858,0.008080517
-0.029411736,0,0,0,-0.090909091,0,0.003952565,0.050420118,0.047197594,0.048780514,-0.024096363,-0.038961003,-0.038110527,-0.028969168
-0.060606091,0.071428571,0,0,0.222222222,0.96078435,0.165354363,-0.072000027,0,-0.023255861,-0.086419744,-0.038288305,0.019531271,0.005792815
-0.096774197,0,0,0,0,0,-0.155405416,-0.017241363,0.042253549,0,-0.047297332,-0.110070265,-0.050355777,-0.071274257
-0.035714252,0,0,1,0.018181818,0,0.092000008,0.035087686,0.024324301,0.023809573,-0.03546096,-0.071052627,-0.045533193,-0.02232556
0.037037,0,0,-0.5,0.160714286,0,0,0.042372944,0.029023782,0.279069774,0.022058802,0.050991521,0.111111124,0.042182046
-0.071428609,0.377777778,0,1,-0.192307692,0,-0.029304001,0,0.0025641,-0.0181818,0.014388476,-0.067385444,-0.048369533,-0.028910552
0.076923121,0,0,0,-0.076190476,0,-0.056603808,0.097560978,-0.058823533,-0.055555611,-0.028368768,0.054913311,-0.056539107,-0.0087747
0.035714252,0.016129032,0,-0.5,0.020618557,0,-0.019999981,-0.06666669,0.016304332,0.03921565,-0.065693455,0,0.030266343,0.014227084
1.310344952,-0.047619048,0.640000025,0,-0.04040404,0,0.130612215,-0.039682502,-0.04812836,-0.018867908,0.179687519,0.073972596,0.058754405,0.019482543
-0.08955224,0,0.219512176,1,0.094736842,0,0.028880839,-0.074380191,0.01966297,0.057692369,0.033112551,-0.028061258,-0.018312981,0.009172885
-0.131147608,-0.066666667,0,-0.5,-0.038461538,0,0.021052696,0.071428609,0.068870521,-0.05454551,0.237179499,0.068241531,0.097230032,0.040448388
0.075471743,0.125,-0.224999984,0,0,0,-0.072164959,0,-0.025773232,0.057692369,0.056994828,0.034398,0.076764543,0.026499704
0.105263163,-0.349206349,0.032258084,0,0.1,0,0.059259202,0.1,0.034391565,-0.0181818,0.303921635,0.116389493,0.095693782,0.035886508
0.111111101,0.146341463,-0.031250019,0,0,0,-0.045454504,0.03787875,-0.058823533,-0.074074111,-0.090225565,-0.068085044,-0.039301294,-0.02765982
-0.142857094,0.170212766,0,0,0,0,-0.07692309,0,-0.048913061,0.059999943,-0.111570237,-0.045662165,-0.070909067,-0.024503668
0.04999995,0.090909091,0,1,0.036363636,0,0.031746002,-0.087591244,0.04857145,-0.056603723,-0.046511692,0.031100507,0.009295432,-0.025407746
-0.047619003,-0.083333333,0,-0.5,-0.078947368,-0.100000024,0.030769294,0,0.010899172,-0.019999981,-0.068292678,0.016241339,0.033446464,0.073618739
-0.0666667,0,0,1,0.095238095,0,0,-0.007999992,0.024258737,0,-0.083769617,-0.022831028,-0.010318917,-0.016970244
-0.035714252,0,0,0,0.095652174,0,0.111940278,0,0.12368422,-0.040816348,0.120000022,0.039719531,0.04265401,0.021473667
0.111111111,0.181818182,0,0,-0.03968254,0,0.110738229,0.04838705,0.077283355,0.936170273,0.066326466,0.083146152,-0.022727273,0.039846133
-0.1333334,-0.061538462,0,-0.5,0.016528926,0,-0.027190307,0.007692301,0.127173924,0.010989,-0.081339696,-0.026970977,0.040465155,-0.023784395
-0.076923064,0.31147541,0,0,0.016260163,0,0.040372632,0.068702319,-0.051108943,0.076086947,-0.088541646,-0.063965925,-0.091640638,-0.059014629
-0.145833322,0,0,0,0.064,0,-0.092537299,-0.00714285,-0.042682934,-0.060606062,-0.097142833,-0.077448676,-0.100885791,-0.060414228
-0.024390221,0,-0.010752729,1,-0.060150376,0,-0.06250002,-0.064748226,-0.063694307,-0.010752678,0.025316431,0.009876533,0.043787587,0.049755052
0.099999978,-0.3125,-0.04347822,0,0.104,0,0.045614077,-0.046153804,0.043083915,0.021739109,-0.043209909,0.002444927,0.077608787,0.015166996
0.318181787,0.090909091,0,-0.5,-0.02173913,0,-0.107382527,0.04838705,0.076086937,-0.010638288,0.103225865,0.07317078,0.106569373,0.090216905
