ATER,MBRX,TECX,HOLO,MNPR,DRUG,SEZL,DAVE,LUNR,APLT,DNTH,PI,BBW,EML,JANX,CWST,GEHC,ESGR,AVA,FSI,CHWY,ACLS,AITR,ALCY,AQU,ATMV,AY,CBRG,CLRC,CSLM,DUET,ENV,ESHA,FORL,GDST,IPXX,IROH,IVCP,LATG,MARX,MNTN,NVAC,PLAO,RENE,RFAC,SKGR,SVII,TGAA,THCP,TLGY,VMCA,YOTA
-0.042979986,0.028138488,0.013888875,-0.097765365,0.081081067,-0.091897787,-0.009345741,-0.025522073,-0.050847411,-0.013736316,0.13624458,-0.040930194,-0.003921575,0.033088203,-0.065335775,-0.032829461,-0.003404506,-0.018767703,0.007489611,-0.016129017,-0.065771866,-0.030468273,0.000986122,0,0.007483712,0,-0.014097798,0.00183819,0.002700332,0,0,-0.023987148,-0.000878117,0,0,0.001926734,0,0,0,0.001409717,0,0,0,0,0,0.000923382,-0.000368841,0.005434821,0,0,0,0.00384615
-0.020958082,-0.042105224,0.013698617,-0.040247655,0.022500038,0.023952145,-0.04716981,-0.013095198,-0.058035765,0.055710321,0.002305898,-0.016488853,-0.009186395,0.024466244,0.018446561,-0.009279635,0.006043872,0.001978643,-0.003303935,0.010928951,-0.00718389,-0.039612975,0.002955733,0.002780377,-0.001857053,0,-0.000953311,0.001834904,0,0,0,0.00206531,0,0,-0.001385073,-0.004326931,0,0,0,0.000469274,0,0,0.000899301,0.000911511,0,0.00092253,0,0.000450375,0,0,0,-0.001915661
-0.027522947,-0.076923132,-0.006756804,-0.100000012,0.036674722,-0.005847948,-0.029702988,0,0.090047425,-0.406332448,-0.013036816,-0.007519731,-0.003532006,-0.036039944,-0.017159138,-0.001355689,0.000653037,-0.008661008,0.000276197,-0.028108132,-0.014471744,0.014638807,0,0,0,0,0,0.002747228,0,0,0,-0.004946448,0,0,0,0.002414348,0,-0.001839881,0,-0.000938108,0,0,0,0,0,0,-0.00092253,-0.00090043,-0.000978496,0,0,0.002879053
-0.003144614,-0.144047614,-0.01360543,-0.129032274,0.011792498,0.105882319,-0.046428563,0.077201489,-0.004347822,0.00444444,0.031080076,0.053285316,-0.00708905,0.018918922,0.046556695,0.026533402,0.009658025,0.001607519,0.00883733,0.006674063,0.012726394,0.026648556,9.82E-05,0,0,0.000933728,0.008587801,-0.001643804,-0.000897687,0.000918207,-0.002727248,0.062344702,0.00195317,0.007604555,0,0.001926734,0,-0.00092168,0,0.000938989,0,0.010752678,0.001796901,0,0,0,0.001846764,0.009463681,0,0.000902548,0,0
0.006309161,0.001390886,-0.020689581,0.222222292,0.027972002,0.06329785,-0.098983431,-0.008958558,0.004366808,0.017699098,0.120572673,-0.00849058,-0.017402918,-0.000884194,0.014828531,0.002885283,-0.009048564,-0.034506768,-0.008759915,0,0.022232918,-0.006778538,0.000883982,-0.000382418,0.0065116,0,-0.001419053,-0.001097703,-0.002695394,0,0,-0.000779897,0.001949269,-0.002830253,0,-0.000961469,0,0,0,0,0.002749746,0,0,0.000910768,0,0,0.000921592,-0.00892852,0,0,0,0
-0.028213176,0.038888883,0.021126683,-0.08080813,0.004535143,-0.019509713,-0.02078387,0.097175098,0.230434775,0.165217444,-0.193006046,-0.005827848,0.017711144,-0.00221244,0.016438384,-0.001678247,-0.006391932,-7.22E-05,-0.003313972,-0.001104958,-0.05721036,-0.033874321,0,0.001434753,0,0,-0.014211328,0,0,0,-0.000911598,-0.01209754,-0.002918262,0.000946095,-0.004160807,0.000962394,0,0,0,0,-0.001736751,0,0,0.000909939,0,0,0.000920831,0,0.000979454,0.00360685,0,0
-0.064516163,-0.0508022,-0.020689581,-0.018315019,-0.006771949,-0.045918383,0.030927849,-0.031925893,-0.155476972,-0.08955224,-0.015833298,-0.024763725,0.00044624,0.037694031,-0.061096163,0.009005764,0.001050306,-0.009974737,-0.016902206,-0.009955756,0.004513548,-0.010854601,0,0.002865304,0.015711653,0,-0.02450746,0,0,0,0,0.008690472,0,-0.002835514,0,0,0,0,0,-0.000938108,-9.15E-05,0,0,-0.000909112,0.000931988,0.000921592,-0.000919984,0.005405357,0.001956899,0,0,0
0.017241363,0,-0.007042302,-0.055970151,-0.011363679,0.032620315,0.074117661,0.038297939,0.071129636,0.02459014,0.010160871,-0.021099039,-0.010704718,0.047008564,-0.028708153,0.018921861,-0.001049204,-0.011389337,0.005918802,-0.005586587,-0.044433413,-0.006096472,0.000490688,-0.002857117,0,0.001865625,0,0.000915772,0.005405357,0,0,-0.015468982,0,0.001895688,0,-0.000769175,0,0.001844973,0,0.004694854,0.000915772,0,-0.002062759,0.000909939,0,0,0.000460416,-0.004480304,0,0,0,0.004784707
-0.016949137,-0.07042247,-0.049645399,-0.011857678,-0.048275872,0.009839489,0.136363622,0.048155666,0.011718739,0,0.026823109,0.024436051,-0.025698814,0.01428573,-0.045320203,-0.023359028,-0.015754194,-0.013588334,-0.049873882,-0.016853917,-0.019331188,0.04828246,-0.000490448,0.000955041,0,0.00093112,-0.015763532,0.000457467,-0.000896078,0,0.002737202,-0.007557623,0.000975632,0,0,-0.004041553,0,0,0,-0.003738314,0.002744715,0,0,0,0,0,0.001380611,0,-0.001953077,0.000898493,0,0.00380952
0.006896566,-0.060606091,0,-0.075999985,0.057971076,0.025641001,0.171084301,0.017595339,0,-0.019999981,-0.038367369,0.114006112,0.009717681,-0.020120724,-0.020639816,0.004544334,-0.029611861,-0.006438576,0.00058981,-0.028571401,0.011720794,0.005934959,0.000981377,0,-0.018198345,0,-0.034534467,0.003200718,0.004484322,0,0.000909939,-0.01683367,0,0.000946095,0,0.002415422,0,-0.002762406,0.00362647,0.000938108,-0.002737202,-0.011524833,0,0,0,0,0,0,0,0,0,0
