FCEL,XOMA,MYGN,AVDL,MBOT,PLX,EPM,CMCL,MED,SGRP,PPBI,WYY,SMTI,SCWO,OMEX,CLWT,MANH,EZPW
-0.059431525,-0.021052632,0.021857928,0.028571429,0.170212766,0,0,0,0,-0.054545455,0.071428367,0,0,0.66666626,0,0,-0.024390244,0
-0.010989011,0,0.021390378,-0.111111111,0.018181818,0,0.235294009,0,0,-0.115384615,-0.049999894,-0.013513514,0,-0.199999561,0,0,0,-0.008064742
0.066666667,0.010752688,0.047120339,0,0.071428571,0,1.952381236,0,0,0.086956522,0.043859396,0.205479452,0,0,0,0,-0.016666667,0.040650152
0.244791667,-0.042553191,0.20000005,0.03125,0.033333333,0,-0.396774285,0,0.090909044,0,0.008403494,0,0,0.249999313,0,0,0.084745763,-0.031249543
0.175732218,0.044444444,0.04999994,0.03030303,0.112903226,0,0,0,0,0.04,-0.066666489,-0.090909091,0,0,0,0,0.203125,0.048387061
-0.112099644,0.063829787,0.009920704,0.058823529,0.246376812,0,-0.165775163,0.500000156,0.083333389,0,0,0.05,1,0,0,-0.051282133,-0.103896104,-0.015385046
-0.046092184,0.06,-0.003929274,-0.013888889,-0.023255814,0,0.198717607,-0.333333403,-0.076923124,-0.038461538,0.084821134,-0.047619048,0,0,-0.24000001,-0.081080816,0.02173913,0
-0.008403361,0.056603774,-0.003944774,0.070422535,0.071428571,0,-0.165775163,0.500000156,0.750000308,0,0.053498072,-0.05,-0.25,0,0,0,-0.021276596,0.031250261
0.014830508,0.160714286,-0.062376283,-0.026315789,-0.111111111,0,0,-0.333333403,0.142856942,0,0.062500039,0.052631579,0.666666667,0.100000513,0,0,-0.079710145,-0.022727304
0.018789144,0.092307692,0.144667371,0.297297297,0.05,-0.857142857,0,0,0,0,0.05882327,-0.05,0.6,0.272727212,0,0.470588086,0.149606299,0.085271054
0.229508197,0.352112676,-0.030442781,-0.020833333,0.142857143,5,0.089743435,0,-0.083333294,-0.02,0,0.026315789,0.5,2.142856769,0,0.040000059,-0.01369863,0.028571667
0.333333333,-0.09375,0.050428079,-0.223404255,0.791666667,-0.333333333,-0.047058881,0,-0.22727292,-0.040816327,-0.041666493,0.025641026,-0.083333333,0.09090903,0,-0.153846088,0.027777778,0
0.12,-0.022988506,0.014492819,0.260273973,-0.046511628,0,-0.074073962,0.500000156,0,-0.021276596,0.043478072,-0.025,0.454545455,0.125,0,0.454545169,0.023648855,0
-0.178571429,0.058823529,0.028571435,0.043478261,0.091463415,0,0.246666411,-0.333333403,-0.058823246,0,0,0,0.5,0,0,0.031250126,-0.036303824,-0.013888643
-0.048913043,0.266666667,-0.019097168,-0.041666667,0.027932961,0,-0.304812636,0.500000156,0,0,-0.041666493,0.205128205,0.041666667,0.111111111,-0.31578949,0.287878523,0.061643836,0
-0.025714286,-0.061403509,0.014159295,-0.043478261,-0.130434783,0,0,-0.333333403,0.06249968,0,0.043478072,-0.021276596,-0.16,0.033333374,0,-0.152941077,0.096774194,0.014084254
0,-0.112149533,0.012216348,-0.045454545,-0.175,0,0,0.500000156,-0.058823246,0,-0.027777662,-0.010869565,0.047619048,0,0,0.041666661,-0.035294118,0
-0.073313783,-0.021052632,-0.007758652,0,-0.03030303,0,0.676923117,0,-0.062499893,-0.043478261,0,-0.010989011,-0.090909091,-0.161290395,0,0.120000116,-0.073170732,0
-0.050632911,-0.048387097,-0.103388297,-0.047619048,-0.09375,0,0,-0.333333403,0.066666545,0.136363636,-0.028571306,0,0,-0.230769242,0.438461564,-0.142857227,-0.065789474,-0.013888643
0.123333333,0.039548023,0.063953436,-0.1,0.103448276,0,0,0,0,0,-0.058823564,-0.111111111,-0.05,-0.19999989,0.336898421,0.111111142,0.007042254,-0.014084982
0.056379822,-0.065217391,0.052823328,0.111111111,0.03125,0,0,0.500000156,0,0,0.109375042,0.05,-0.105263158,0,0,0,0.083916084,0.014286203
0.070224719,-0.023255814,0.100346044,-0.075,0.03030303,0,0,0,-0.187500036,0.04,-0.042253522,0.011904762,-0.117647059,0,0,-0.025000099,0.077419355,0
0.060367454,0,0.157232738,-0.027027027,0.176470588,0,0,0,-0.076923124,0,-0.117647128,0.035294118,0,0.249999828,0,-0.128204951,0.02994012,-0.011190422
-0.044554455,0.214285714,0.184782551,0.111111111,0.1,0,0,0.333333194,0.166666682,-0.057692308,0.075000064,-0.045454545,0,0.300000018,-0.480000019,-0.058823683,0.063953488,0.014286153
-0.005181347,0.088235294,0.018348628,0.2,-0.034090909,0,-0.403669739,0,0.214285447,0,-0.054263586,-0.023809524,0,-0.346153862,0,0.156250087,0.071038251,0.408450187
-0.06640625,-0.076576577,0.052927902,-0.083333333,0.035294118,0,0.053845975,0,0.117647161,0.020408163,-0.01639348,-0.024390244,0,0,0,-0.297297267,0.510204082,-0.234999883
0.026499303,0.16097561,0.098395747,0.136363636,0.204545455,0,-0.087591187,0.500000156,0,0.04,0.050000006,0.05,0,0,0.438461564,0.230769085,-0.047297297,-0.032679539
0,-0.058823529,0.013631941,0.08,-0.089622642,0,0,-0.333333403,0,0,-0.071428843,0.095238095,-0.133333333,0,-0.278074851,0.062500174,-0.09929078,-0.013513923
0.097826087,0.089285714,-0.106628234,-0.074074074,0.067357513,0,0,0.25000036,0,0.134615385,0.059829444,-0.032608696,0.076923077,0.411764807,0.385185155,-0.147058954,-0.003937008,0.068493374
0.034653465,0.135245902,0.015053767,0.04,-0.058252427,0,0,0,-0.210526061,0.033898305,0.03225803,-0.056179775,0,0.083333282,-0.304812847,0.034482812,0.019762846,-0.076923077
0.045454545,0.083032491,0.100635579,0.538461538,0,-0.25,0,0,0,0,-0.031249967,-0.023809524,-0.142857143,0,0.200000031,-0.033333383,-0.015503876,0.05902799
0.041189931,0.28,0.193455257,0.2,0.082474227,0,0,0,0.133332863,-0.016393443,-0.048387313,0.036585366,-0.166666667,0,0,-0.310344792,-0.031496063,-0.029508191
-0.050549451,-0.114583333,-0.071774236,0.208333333,0.104761905,0,0.744000233,0,-0.176470407,0,0.050847697,-0.035294118,0,0.076923174,0,0.399999852,0.044715447,0.054053837
0.194444444,-0.158823529,-0.114682856,-0.017241379,0.232758621,0,0,0,0.214285447,0.033333333,-0.09677409,0.024390244,0,0.28571423,0.19871794,0.250000044,0.003891051,-0.051281856
0.100775194,0.090909091,0.028950007,-0.087719298,-0.020979021,0,0,0.19999978,0,-0.032258065,-0.0178573,1.880952381,0.2,0,0,-0.028571261,-0.034883721,-0.121621597
-0.056338028,-0.057692308,0.098593113,0.009615385,-0.078571429,0,0,0,-0.058823246,0.016666667,0.163636377,-0.29338843,-0.166666667,-0.111111145,0,-0.029411805,0.024096386,-0.030769458
0.001865672,-0.006802721,0.055670166,-0.19047619,0.007751938,0,0,-0.166666514,0.249999432,-0.016393443,-0.015625036,0,0.1,0,-0.165775395,-0.030303148,0.003921569,0
0.012104283,-0.054794521,-0.032072348,0.082352941,0.011538462,0,0,0,-0.299999739,0,0,0.099415205,1.090909091,-0.156249968,0,0.125000039,0.015625,-0.015872774
0.100275989,0.072463768,0.050127424,0.5,0.003802281,0,0,0,0.714285691,0,-0.047619053,-0.106382979,-0.043478261,0.203703749,0,0,0.042307692,0.032257564
-0.026755853,0.081081081,-0.021844638,0.31884058,0.143939394,0,0,0.19999978,-0.33333327,0.016666667,-0.066666489,-0.095238095,0.090909091,0.046153844,1,-0.111111142,0.10701107,-0.031249531
0.008591065,0.1125,-0.058726204,-0.208791209,0.61589404,0,0,-0.166666514,0,-0.049180328,0,0.434210526,0.041666667,0.058823491,0.20192309,0.031250126,0.046666667,0.024193542
0.189097104,0.185393258,0.055360261,0.166666667,0.057377049,0,0.146788837,0,0.312500107,0.034482759,0,-0.064220183,0.04,0,-0.253333357,0.242424138,0.025477707,-0.023622042
-0.011461318,0.123222749,0.088259745,-0.029761905,-0.085271318,0,0,0.39999986,-0.142857212,0,0.071428367,0.12745098,0.384615385,0.555555522,0,-0.146341503,0.111801242,0.024193542
-0.092753623,-0.139240506,0,-0.036809816,-0.148305085,0,0.500000045,0.142856928,0.27777743,0,-0.100000011,-0.12173913,-0.083333333,-0.071428529,0.560714322,0.085714419,0.05027933,0
0.044728435,0.058823529,0.061974026,-0.095541401,-0.119402985,0,0.146666396,0.25000036,0,0,0.009259281,-0.04950495,-0.151515152,0.038461514,0,0,0.015957447,-0.055118337
-0.02293578,-0.064814815,0.324927993,-0.014084507,0.11299435,0,0,0.09999974,0,-0.016666667,-0.036697333,-0.046875,0.035714286,0.055555556,0.716247153,2.473683718,0.005235602,0.183333588
0.057120501,-0.02970297,-0.129962012,0.014285714,-0.025380711,0,0,0,-0.217391092,-0.050847458,0.066666954,-0.027322404,-0.206896552,-0.105263158,0.166666667,-0.113636318,-0.09375,0
-0.011102887,-0.12244898,-0.179999961,-0.007042254,-0.15625,0,-0.465116146,0.090909149,0,0.214285714,-0.0178573,0.011235955,0.260869565,0.117647059,0,-0.059829066,-0.08045977,-0.042253512
-0.097305389,-0.098837209,-0.011814065,-0.19858156,-0.188271605,0,0.630434761,-0.249999896,0.055555335,-0.029411765,-0.109090857,-0.066666667,-0.034482759,-0.105263158,0.070857184,-0.118181819,-0.1875,0
-0.102819237,-0.04516129,-0.107982954,0.061946903,0.148288973,0,-0.360000155,0,-0.157894561,-0.03030303,0.102040705,-0.130952381,-0.178571429,-0.058823529,-0.066168659,0.072164855,0.115384615,0
0.01663586,0.081081081,0.015131735,-0.125,-0.092715232,0,-0.041666422,0.222221987,0.125,-0.0234375,-0.129629687,-0.01369863,0.217391304,-0.166666641,0.106285731,-0.019230705,0.096551724,0
0.103636364,0.0125,0.056218131,-0.047619048,-0.04379562,0,0.043477994,-0.090908876,-0.111111111,-0.048,0.063829799,-0.069444444,-0.178571429,-0.299999991,0.15702474,-0.11764695,0.031446541,0
-0.044481054,-0.111111111,-0.225806446,-0.02,-0.122137405,-0.416666667,0,0,0.06249968,-0.109243697,0,0.029850746,0,0.28571423,0.249999982,-0.066666762,0.222560976,0
-0.075862069,-0.0625,-0.352604188,-0.081632653,-0.008695652,0,0.041666888,-0.10000004,-0.117646693,-0.094339623,-0.019999848,-0.043478261,0.086956522,-0.222222188,-0.196428535,-0.357142874,-0.027431421,0
0.044776119,0.155555556,0.115848781,0.2,0.175438596,0,-0.127999883,-0.111111327,0.133332863,0.041666667,-0.020408277,-0.060606061,-0.12,0.142857049,-0.275555575,-0.037037095,-0.01025641,-0.014706328
0.1875,0.051282051,-0.1009372,0.018518519,0.037313433,0,0,-0.124999836,0,0,-0.14583333,0.129032258,-0.227272727,-0.124999928,-0.233128813,0.144230907,-0.020725389,-0.029850298
0.012030075,-0.115853659,-0.034482844,-0.1,-0.079136691,-0.428571429,0,0,-0.117646693,0,0.170731703,-0.028571429,-0.117647059,0,0.299200058,0.210084015,0.058201058,-0.030769458
-0.02526003,0,-0.061461752,-0.050505051,-0.09375,0,0.10091705,0,0.066666545,0.02,-0.041666557,0,0,0,-0.15394088,0,0.08,-0.047619048
-0.030487805,-0.034482759,-0.092035474,-0.031914894,-0.060344828,0,-0.220833304,-0.142857214,0,-0.039215686,0,-0.051470588,0,0,-0.090247501,0.166666644,0.115740741,0.033333588
-0.05581761,-0.107142857,-0.113060393,-0.142857143,-0.119266055,0,0.165775761,0,-0.125000071,0.020408163,-0.021739252,-0.100775194,0,0,0.049600029,-0.047619003,0.058091286,-0.032258303
-0.017485429,-0.072,-0.131868087,0,-0.083333333,0,0.431192627,0,0.142857236,0,-0.022222201,-0.060344828,0,0,0.143292651,-0.037500117,0.017647059,0
0.061016949,0.068965517,0.220253117,-0.025641026,0.403409091,0,-0.198718037,-0.166666514,-0.125000071,0,0.090909077,-0.036697248,-0.2,-0.035714328,-0.042666647,-0.025974068,0.055876686,0.05
-0.10543131,-0.096774194,-0.219916989,-0.065789474,-0.182186235,1,0,0.19999978,0.035714106,-0.03,0.104166565,-0.047619048,0,0.037037082,0,0,-0.072992701,0.015872774
-0.028571429,-0.0625,-0.023603761,-0.070422535,-0.00990099,-0.625,0.371999714,-0.166666514,0,-0.010309278,-0.09433954,-0.08,-0.083333333,-0.035714328,0.044568224,-0.253333289,-0.208661417,-0.015624765
0.007352941,0.028571429,0.175348931,0.015151515,0.04,0,-0.090378719,0.19999978,-0.034482591,0,-0.041666557,0.043478261,-0.272727273,0.037037082,-0.125333309,0,0.231343284,0.015872774
0,0.185185185,0.371958348,-0.044776119,0.086538462,0,0,-0.166666514,0,-0.083333333,0.021738962,0.125,0.375,-0.214285705,0,-0.124999934,-0.070707071,-0.015624765
-0.01459854,0.171875,-0.087837801,0.0078125,0,1.666666667,0,0,0,0.090909091,0.063829799,-0.055555556,0,0.09090903,0,-0.020408295,0.034782609,0.015872774
-0.07037037,-0.14,-0.18518522,0.007751938,-0.088495575,0,0,0,-0.142857154,-0.0625,-0.079999859,-0.058823529,-0.090909091,-0.166666718,0,0,-0.025210084,-0.015624765
-0.052788845,-0.027131783,-0.004545456,-0.015384615,-0.106796117,0,0,0,0,0,-0.021739252,0,-0.2,0,-0.047256124,0,-0.109913793,0
-0.041009464,-0.171314741,-0.057077639,-0.0234375,-0.119565217,0,0,0,0,-0.2,0.022222349,-0.125,0.25,0.100000128,0.099200058,-0.041666426,0,0.015872774
-0.14254386,0.038461538,0.026634389,-0.04,-0.148148148,0,-0.198718037,-0.20000023,-0.166666967,0.055555556,-0.043478359,-0.023809524,-0.2,-0.136363629,-0.090247501,-0.043478429,-0.070217918,-0.031249531
-0.301790281,-0.148148148,-0.162735808,-0.041666667,-0.217391304,0.5,-0.127999883,0,0,0.052631579,-0.068181827,-0.073170732,0.125,-0.10526328,0.099200058,-0.136363514,-0.135416667,-0.016129521
0.054945055,-0.02173913,-0.064788745,-0.165217391,-0.111111111,0,0.146788837,0.25000036,-0.199999636,0.05,0,-0.144736842,-0.222222222,-0.05882339,-0.090247501,-0.210526357,-0.048192771,-0.016393197
0.107638889,0.244444444,0.231927656,0,0.395833333,0,-0.127999883,-0.20000023,0.249999432,0.095238095,0.024390301,0.046153846,0.428571429,0.062499843,0,0.183333111,0.167721519,0
0.006269592,-0.053571429,-0.019559825,0.020833333,0.052238806,0,0,0,0.200000432,0.02173913,-0.023809579,0.117647059,-0.2,0,0,-0.042253244,0.08401084,-0.016666412
-0.010903427,-0.122641509,-0.001246925,0.020408163,0.191489362,0,0,0,0,-0.14893617,0.04878044,-0.026315789,-0.125,-0.176470601,0,-0.058823683,-0.1175,-0.050847444
-0.067716535,-0.075268817,-0.051185986,-0.04,-0.083333333,0,0,0,-0.33333327,0.1,0.30232592,-0.027027027,0,0,0,0.062500174,0.127478754,-0.017857683
0.101351351,-0.25,0.076315714,0.010416667,-0.025974026,0,-0.215596365,0,-0.250000071,-0.136363636,-0.071428665,-0.055555556,0,0,0.8,0.176470468,-0.025125628,-0.045454281
-0.016871166,-0.054263566,0.017115001,0.072164948,-0.146666667,0,0.315789395,0,0,0.078947368,-0.038461689,0.058823529,0,0,-0.055999968,-0.100000025,-0.046391753,0.0095241
