DYAI,MITK,PRTG,MRKR,KRMD,SONN,TCBK,WFCF,NEPH,PLG,SNEX
0,0.052631608,0,0,-0.31578949,0,-0.024986514,0,-0.166666681,0.009546539,-0.00191348
0,0,0,0,-0.146153804,0.5,-0.02235579,-0.333333384,0,-0.037825059,-0.034125815
0,0,-0.178571429,0.571428571,0.171171113,0,0.012828003,0.59999994,-0.149999989,-0.034398034,-0.007145743
0,0,0.086956522,-0.045454545,0,0,-0.037995513,0,0,-0.007633588,0.020391854
0,-0.125000028,-0.08,0.095238095,0,0,-0.001717346,-0.187499965,0.058823566,-0.030769231,0.01136371
0,-0.057142804,0,0.260869565,0,0,0.031536393,0.153846234,0.027777706,0.029100529,0.036807431
0,0,0,0.034482759,0,0,-0.029460619,0,0.324324309,-0.005141388,-0.041106142
0,0.181818092,0,-0.233333333,0,0,-0.009164225,0,0.183673528,-0.007751938,0.030007849
0,-0.153846089,0,0.043478261,0,0,-0.002889969,0,0.206896534,-0.0078125,-0.018539601
0,0,0,0.375,0,0,0.026666845,0,0.214285714,-0.073490814,-0.000770954
-0.375000009,0,0.065217391,0.090909091,0,0,-0.018068765,0,-0.035294078,0.033994334,-0.036651226
0,0,-0.102040816,-0.138888889,0,-0.08,-0.064979981,0,0.060975607,-0.019178082,-0.004805762
-0.199999988,0,0.045454545,-0.032258065,0,0,0.050430508,-0.20000009,-0.057471262,-0.053072626,-0.043863221
0,0.181818092,-0.173913043,0,-0.307692255,-0.202898551,0.067915621,0,-0.146341499,0,-0.087962969
0.075000002,-0.153846089,0.105263158,-0.2,0,0,0.031798358,0.250000141,0.028571477,0.109144543,0.040609098
0.023255791,0,0,0,0.222222167,0,-0.061636214,0,-0.027777824,-0.007978723,0.064301588
0.022727251,0,0.19047619,0,0,0,0.055492079,0,0.071428571,-0.037533512,0.040416718
0,0,0,-0.291666667,-0.181818145,0,0.025750867,0,0,-0.008356546,0.017220562
0,0,0,0.411764706,0.01111105,0,0.006276374,0,0.013333356,0.028089888,-0.021653439
-0.111111074,0,0,0,0,0.181818182,-0.072245447,0,0.842105222,0.013661202,0.035010054
-0.02500005,0,0.04,0.041666667,-0.219780178,-0.076923077,0.014006069,0,-0.221428584,0.056603774,-0.012441778
0.025641079,0,-0.230769231,0,0,0.25,-0.027624354,0,-0.192660569,-0.020408163,0.018504061
0.024999976,0,0,0,0,-0.133333333,-0.011363789,0,-0.01136356,-0.0703125,-0.03362968
-0.024390221,0,0.35,0,0,0,-0.020115309,0,0.057471262,0.058823529,-0.015600013
-0.249999981,0,-0.037037037,-0.36,0,0,0.026393616,0,-0.03260875,-0.063492063,-0.084112209
-0.1,0,0,0.5625,0,0,-0.011429244,0,0,0.019774011,0.037710732
0.037037,0,-0.038461538,0,0,0,0.005780766,0,0,-0.002770083,0.025224462
0,0.181818092,0,0,0,0,0.009770004,0,0.056179776,-0.030555556,-0.057547961
-0.107142861,0,0,0,0,0,0.007399429,0,0.010638316,0.022922636,0.04026548
-0.160000026,-0.153846089,0,-0.36,0,-0.076923077,-0.028813811,0,-0.021052667,-0.028011204,0.02339437
0.190476228,0,0,0,0,0.083333333,0,-0.066666747,0.010752707,0.002881844,-0.002493823
0,0.060606,0,0,0.830985788,0,0.003490107,0.071428664,0,0.048850575,0.002083302
0.080000043,-0.057142804,0,0,-0.376923052,0,0.009855567,0,0,0.046575342,0.00748446
0.259259222,0,0.12,0,0,0,-0.010332901,0,-0.042553174,-0.028795812,0.011143111
0.029411736,0,-0.107142857,-0.0625,0.234567916,0,0.013920391,0,0.033333296,0.016172507,0.002449036
0,0,0.12,0,0,0,0.026316268,0,0,0.013262599,0.008143315
0.142857179,0,-0.035714286,-0.066666667,0,-0.169230769,0.000557476,-0.133333394,0,-0.010471204,-0.00646203
-0.249999981,0,0.055555556,0,0,0,-0.025627048,0,0.021505414,-0.076719577,0.038211405
0,0,0,0,0,0,-0.024013195,0,-0.052631579,0.022922636,0.028191046
-0.0666667,0,0.052631579,0,0,0.018518519,-0.011716769,0,0.111111111,-0.022408964,0.018659514
0,0,0,0.071428571,0,0,-0.011855447,-0.230769235,-0.139999983,-0.00286533,0.001495433
0.17857147,0,0,0.533333333,0,0,-0.014397238,0,0.06976746,-0.031609195,0.072415062
0.212121182,-0.090909091,0.066666667,-0.260869565,0,0,-0.013496743,0,-0.043478333,0.068249258,-0.014966944
0,0,-0.0625,0,0,0,-0.019900477,0.099999977,0.022727312,-0.027777778,-0.050530012
-0.075000002,0,-0.066666667,0,0,0,0.019669897,0,0,-0.048571429,-0.005582455
-0.189189167,0,0,0,0,0,-0.004356049,0,-0.044444426,-0.069069069,-0.003742458
-0.1,-0.0666667,0,-0.117647059,0,0.454545455,0.081875247,0,0.034883681,0.067741935,0.02516894
-0.074074111,-0.071428609,-0.035714286,0,0,-0.0625,-0.034662121,0,0,-0.03021148,0.009527343
0.200000048,0.115384624,-0.037037037,0,0,-0.266666667,0.031119022,0,-0.033707828,-0.015576324,0.022504568
-0.1666667,0,0,-0.4,0,0,-0.02437631,0.090909072,-0.058139534,0.025316456,-0.024494195
0.200000048,-0.103448283,0,0.333333333,-0.20000003,0,0.002974812,0,0,-0.043209877,-0.114992718
0,0,-0.115384615,0,0,0.018181818,0.056939442,0.08333338,-0.024691399,-0.019354839,0.006167787
