PRTG,SOBR,INLX,BRTX,CHRD
0,0.066666667,0,4.040000153,0.071651095
0.136363636,-0.0625,0.142857143,-0.595238115,0.052325531
-0.04,-0.106666667,0,-0.147058826,0.002762494
0,0,-0.125,-0.287356328,-0.066115703
-0.083333333,0.029850746,0,0.596774181,-0.008849619
-0.045454545,-0.15942029,0,-0.313131267,-0.035714253
-0.133333333,0.034482759,0,-0.088235348,-0.033950585
0.263736264,0,0,-0.112903199,0
-0.173913043,-0.216666667,0,-0.181818182,-0.003194961
0.157894737,-0.085106383,0,-0.111111111,-0.025641002
-0.172727273,-0.069767442,0.142857143,-0.125,-0.023026294
0.208791209,0.125,0,-0.171428544,-0.067340083
-0.072727273,-0.111111111,0,0.310344768,-0.061371869
0.176470588,0,0,-0.236842071,-0.046153804
0.25,-0.025,0,-0.241379319,-0.032258034
-0.133333333,0,-0.125,-0.227272722,-0.070833362
-0.076923077,0,0,-0.117647084,0.031390104
-0.041666667,-0.076923077,0,-0.066666683,-0.039130398
0.043478261,0,0,-0.214285684,0.031674177
-0.041666667,0.083333333,0,-0.090909111,-0.013157882
0,0.179487179,0,0,-0.00444444
0.130434783,0.260869565,0.142857143,-0.100000024,-0.008928563
0.061538462,-0.051724138,0,-0.111111074,0.099099111
0.086956522,0.254545455,0,-0.375000009,-0.008196713
-0.1,0,0,-0.199999988,-0.020661235
-0.022222222,-0.144927536,0,0,-0.059071676
0.060606061,0,0,0.249999981,0
0,0,0,-0.199999988,-0.031390104
0,-0.237288136,0,0.249999981,-0.00925925
0.071428571,-0.111111111,0,0,-0.014018789
-0.066666667,-0.175,0,-0.199999988,-0.004739332
-0.107142857,0,0,-0.249999981,0.038095317
0,0,0.125,-0.33333335,0
-0.04,0.212121212,0,0.500000037,-0.045871624
0.166666667,0.25,-0.111111111,0,-0.096153815
0,0,0,-0.33333335,-0.058510646
0,-0.1,0,0,-0.067796614
-0.071428571,0,-0.5,0,-0.109090879
-0.038461538,0,1.75,0,0.115646227
0.04,-0.111111111,-0.181818182,0,-0.06707318
0.076923077,0,0,0,-0.058823474
-0.071428571,0,0,0.500000037,-0.083333333
0.153846154,0,0,0,-0.037878841
-0.08,0.125,-0.111111111,0,-0.322834624
-0.130434783,0,0,0,-0.616279061
0,0,-0.125,0.3333333,0.242424182
-0.083333333,-0.088888889,0.142857143,-0.249999981,-0.048780514
-0.090909091,0,0.25,0,-0.051282004
0.25,0,0,0,1.702702668
-0.12,0.097560976,0,0.3333333,-0.580000013
-0.090909091,0,0,0,0
0,0.311111111,0,0,-0.166666655
0,-0.237288136,-0.2,-0.249999981,0.22857147
-0.1,0,-0.98,0,-0.046511652
-0.055555556,0,0,-0.33333335,-0.073170735
0,0,0,-0.5,0
0.058823529,0,0,0,-0.026315765
0.111111111,-0.222222222,0,0,-0.081081083
0,0,0,1,-0.117647033
-0.1,0,0,0,0
0.011111111,0,0,-0.5,0.1666666
-0.010989011,0,0,0,-0.171428581
0,0,0,0,0.172413839
0,0,0,1,0.117647033
0.1,0,0,0,-0.105263137
-0.04040404,-0.028571429,0,0,-0.088235297
0,0.176470588,25.87500179,0,0.032258034
0.042105263,0.05,0.395348775,-0.5,0.062500035
-0.090909091,0,0,0,-0.029411736
0.222222222,0.071428571,0,0,-0.060606091
0,0,0,0,-0.096774197
0.018181818,0,0,1,-0.035714252
0.160714286,0,0,-0.5,0.037037
-0.192307692,0.377777778,0,1,-0.071428609
-0.076190476,0,0,0,0.076923121
0.020618557,0.016129032,0,-0.5,0.035714252
-0.04040404,-0.047619048,0.640000025,0,1.310344952
0.094736842,0,0.219512176,1,-0.08955224
-0.038461538,-0.066666667,0,-0.5,-0.131147608
0,0.125,-0.224999984,0,0.075471743
0.1,-0.349206349,0.032258084,0,0.105263163
0,0.146341463,-0.031250019,0,0.111111101
0,0.170212766,0,0,-0.142857094
0.036363636,0.090909091,0,1,0.04999995
-0.078947368,-0.083333333,0,-0.5,-0.047619003
0.095238095,0,0,1,-0.0666667
0.095652174,0,0,0,-0.035714252
-0.03968254,0.181818182,0,0,0.111111111
0.016528926,-0.061538462,0,-0.5,-0.1333334
0.016260163,0.31147541,0,0,-0.076923064
0.064,0,0,0,-0.145833322
-0.060150376,0,-0.010752729,1,-0.024390221
0.104,-0.3125,-0.04347822,0,0.099999978
-0.02173913,0.090909091,0,-0.5,0.318181787
0.014814815,0,0,1,-0.08620692
0.04379562,-0.083333333,0,-0.5,0.037735928
-0.020979021,0,0,0,-0.05454551
-0.035714286,0,0,0,-0.019230752
0.037037037,0,0,0,0.03921565
-0.071428571,0.109090909,0,0,-0.037735815
-0.038461538,0.31147541,0,0,-0.058823533
0.016,-0.2625,-0.045454609,0,-0.041666628
-0.05511811,0,-0.107142817,0,0.086956502
-0.016666667,0,0,0,0.059999943
-0.06779661,-0.050847458,0,0,0.075471743
-0.99,0.017857143,0.066666667,0,-0.017543843
80.81818004,0.192982456,0,0,1.249999973
0.222222222,-0.969999999,0,0,0.619047601
0.068999967,29.88235221,0,1,-0.230392117
0.020494972,0,0,0,-0.229299365
-0.020833333,0,0,-0.5,-0.190082654
-0.063829787,0,0,0,0.204081556
0.090818162,0,0,1,-0.008474569
-0.08334028,0,0,0,0.051282106
-0.004454931,0.157142892,-0.002499998,0,-0.073170758
0.043835644,0.234567864,0,-0.5,-0.026315765
-0.077865278,-0.053333321,0,1,-0.099099111
0.020872836,0.042253495,0,0,-0.00999999
-0.000185842,0,0,-0.5,-0.030303061
-0.001487299,-0.155405395,0,1,-0.187500012
-0.04580151,0,-0.245614039,0,0.076923083
0.033170747,0.16,0,-0.5,-0.047619004
0.038715755,0,0.063122943,0,0
-0.049181851,0,0,0,-0.062500014
-0.020938855,0,0,0,0.026666641
0.000976548,0.034482759,0.406249979,1,-0.025974002
-0.009756098,0,0,0,-0.026666641
-0.01773402,0.163333284,0.022222201,0,-0.027397315
-0.007021033,-0.134670472,0,-0.5,0
0.054040389,0.158940426,0,1,-0.084507048
0.030186886,0,0,-0.5,0.061538497
-0.055999969,0,0,1,-0.02898548
-0.039318145,0,-0.343478251,-0.5,0.014925359
0,0,0,1,0.088235297
0.051389909,0,-0.082781457,-0.5,-0.027027001
-0.04887807,-0.285714286,0,0,-0.055555583
0.012924425,0,0,0,-0.014705868
0.053164557,0,0,1,0.104477599
-0.057692308,0.2,0,-0.5,-0.0135135
0.066326531,0,0,1,-0.027397315
-0.013875569,0,0,0,-0.014084494
-0.039301338,0.329999951,0,-0.5,-0.028571402
-0.005656541,-0.125313288,0,0,-0.014705868
-0.015644056,0,0,1,0.074626882
0.021671811,-0.057306593,0,0,-0.055555583
0.03030303,0.209726521,-0.061371869,0,-0.05882356
-0.058823529,0,-0.015384601,0.500000037,0.015624985
0.021041632,-0.24623117,0,0,0.046153896
-0.024688821,0,0,0.6666666,0.117647033
-0.002092018,-0.003333321,0,0.399999976,-0.078947373
0.016771472,0.013377939,0,2.285714274,-0.028571402
0.010309278,0,0,0.95652178,0.05882356
-0.07551022,-0.372937309,0,-0.111111111,0.02777775
0,0.673684249,0,-0.024999976,0.040540501
0,0.003144584,0,-0.23076925,-0.038961003
0.078697627,-0.131661425,0,-0.166666667,-0.0135135
-0.048398682,0.119133604,0,-0.2,-0.013698617
-0.00010755,-0.048387097,0.257812539,0.549999952,-0.041666708
0.016023288,0,0,0.516129017,0
0.005503775,0,0.009316761,-0.106382983,-0.057971046
-0.005263158,0,0,0.166666742,-0.076923006
0.111111111,0,0,1.489795831,0.0333333
-0.024380929,0,-0.092307678,-0.278688498,0.032258034
-0.014057032,-0.06779661,0,0.284090903,-0.031249971
-0.009009937,0,0.203389795,0.566371722,-0.032258034
-0.010890163,0.072727273,0.126760579,0.327683559,0
0.004949473,0,0,0.459574436,-0.0666667
-0.035179416,0,0,-0.215743434,-0.053571484
0.042816967,0,0,-0.345724884,0.037735928
-0.025974011,0,-0.25,-0.215909097,-0.0181818
0.02553844,-0.06779661,0.016666651,0.521739109,-0.018518611
0.040104033,-0.054545455,0,0.071428571,-0.056603723
-0.028846154,0,0,-0.168888855,-0.079999983
0.009801959,-0.019230769,-0.016393427,0.422459855,-0.108695676
-0.019511696,0,0,-0.026315818,-0.073170735
0,0,0,-0.092664079,0.052631608
-0.03,0,0.416666667,-0.119148904,0.299999933
0.030927835,0.078431373,-0.056470534,0.053140021,0.076923121
-0.000500031,0,-0.002493823,-0.206422026,-0.053571484
-0.000500204,-0.090909091,-0.0625,0.196531889,-0.07547163
0.001000986,0.18,0,-0.227053169,-0.102040839
-0.025,0,0,-0.006250024,-0.068181821
-0.005538471,0,0,-0.056603751,-0.097560956
0.005569316,0,-0.120000013,0.146666718,0.054054002
0.022564071,0,0,0.058139532,0.051282081
-0.022066169,-0.023728788,0,-0.049450631,0
0,0,0,0.057803471,0
0.0246154,0,0.060606076,-0.163934381,-0.317073162
-0.009009024,0,0,-0.006535973,-0.250000027
-0.024747444,0,0,-0.013157882,-0.190476157
0.009839429,-0.027777803,0,-0.053333346,0.05882356
-0.041025641,0,0,-0.014084494,-0.055555583
0.058823529,0,0,0.128571442,0
0,0,0,0.075949354,0
0,0,0,0.041176515,-0.05882356
-0.003030334,-0.007142831,0,-0.112994399,-0.374999977
-0.007092168,0,0,-0.044585976,0.199999955
0.010204082,0,0,-0.066666667,-0.083333318
-0.103535354,0,0,0.085714272,0
0.048112638,0,0,0.085526329,0
0.010535405,-0.100719448,0,0.054545431,0.090909072
0,0.176000015,0,-0.028735633,0.083333318
-0.018085074,0,0,-0.059171599,0
0.01300105,0.017006803,0,0.018867997,0
0.043850251,-0.006689,0,-0.030864255,-0.076923064
-0.016393427,0.010101035,0,0.891719817,-0.083333318
0,0,0,-0.104377115,0.090909072
-0.010520856,-0.003333321,0,0.191729335,0
0.026423857,0,0,0.324921104,0
-0.025641026,0,0,-0.202380952,-0.083333318
-0.052631579,0,0,-0.047761205,0
0.011111111,0,0,0.062695985,0.090909072
-0.010989011,0,0,-0.085545764,0
0.022222222,-0.006689,0,-0.161290323,-0.083333318
0.032608696,0,0,-0.357692278,-0.090909072
0.032105295,0,0,-0.101796448,-0.099999978
-0.0469149,0,0,-0.066666667,0
0.016586443,0,0,-0.057142871,0.888888834
0.063157895,0,0,0.128787866,-0.29411767
0.01980198,0,0,0.080536966,0
0.001165075,0,0.214285714,-0.149068355,0.083333318
0.049262937,0,-0.004705878,-0.116788281,-0.076923064
0.109057333,0,-0.172576836,1.231404888,0
0.020833333,0,0.071428571,-0.270370342,0
-0.004081633,0,0,-0.142132032,257.3333391
0.004098361,0,0,0.005917182,0.026451603
-8.17E-05,-0.010100973,0.266666667,-0.088235294,0.021370217
0.003347242,0,0,0.025806427,0.049846121
-0.015459736,0,-0.052631579,-0.113207502,0.000293146
0.032975189,0,-0.164444447,0,0.002050973
0.060084825,0,0,-0.063829826,0.008771907
0,0,0.005319144,-0.083333291,0.026956531
-0.018867925,0,0,0.066115637,0.031893905
0.05692303,0,0,-0.023255755,0.04403711
0.018922898,0,-0.074074067,-0.055555614,0.021744875
0.000142888,0,0,-0.117647031,0.005897424
0.018425952,0,0,-0.095238095,-0.023451394
-0.028751795,0.013605455,0,0.052631579,0.01644472
-0.007220217,0,0.00285714,0.089999962,-0.010785778
0.003636364,0,0,-0.082568775,-0.024662532
0.007246377,0,0,-0.060000038,0.003194009
0.039712261,-0.013422831,0.099715073,-0.031914814,0.010878213
-0.031691127,0,0,-0.208791263,0.01312336
0.000428738,-0.061224514,0,-0.111111074,0.00155444
0.042857143,0.072463769,0,-0.109375043,0.007501317
0.025684932,0,0,0.614035108,-0.011553293
0.001669449,-0.003378366,0,-0.086956544,-0.016103868
0.000666707,0,0,-0.011904694,-0.013727572
0.015323036,0,0,-0.144578344,0.000535344
0.040026288,0,0,0.056338042,-0.000802638
0.037791833,0,0,-0.066666667,-0.003480516
