DRUG,ATER,MBRX,TECX,HOLO,AITR,ALCY,AQU,ATMV,AY,CBRG,CLRC,CSLM,DUET,ENV,ESHA,FORL,GDST,IPXX,IROH,IVCP,LATG,MARX,MNTN,NVAC,PLAO,RENE,RFAC,SKGR,SVII,TGAA,THCP,TLGY,VMCA,YOTA
-0.091897787,-0.042979986,0.028138488,0.013888875,-0.097765365,0.000986122,0,0.007483712,0,-0.014097798,0.00183819,0.002700332,0,0,-0.023987148,-0.000878117,0,0,0.001926734,0,0,0,0.001409717,0,0,0,0,0,0.000923382,-0.000368841,0.005434821,0,0,0,0.00384615
0.023952145,-0.020958082,-0.042105224,0.013698617,-0.040247655,0.002955733,0.002780377,-0.001857053,0,-0.000953311,0.001834904,0,0,0,0.00206531,0,0,-0.001385073,-0.004326931,0,0,0,0.000469274,0,0,0.000899301,0.000911511,0,0.00092253,0,0.000450375,0,0,0,-0.001915661
-0.005847948,-0.027522947,-0.076923132,-0.006756804,-0.100000012,0,0,0,0,0,0.002747228,0,0,0,-0.004946448,0,0,0,0.002414348,0,-0.001839881,0,-0.000938108,0,0,0,0,0,0,-0.00092253,-0.00090043,-0.000978496,0,0,0.002879053
0.105882319,-0.003144614,-0.144047614,-0.01360543,-0.129032274,9.82E-05,0,0,0.000933728,0.008587801,-0.001643804,-0.000897687,0.000918207,-0.002727248,0.062344702,0.00195317,0.007604555,0,0.001926734,0,-0.00092168,0,0.000938989,0,0.010752678,0.001796901,0,0,0,0.001846764,0.009463681,0,0.000902548,0,0
0.06329785,0.006309161,0.001390886,-0.020689581,0.222222292,0.000883982,-0.000382418,0.0065116,0,-0.001419053,-0.001097703,-0.002695394,0,0,-0.000779897,0.001949269,-0.002830253,0,-0.000961469,0,0,0,0,0.002749746,0,0,0.000910768,0,0,0.000921592,-0.00892852,0,0,0,0
-0.019509713,-0.028213176,0.038888883,0.021126683,-0.08080813,0,0.001434753,0,0,-0.014211328,0,0,0,-0.000911598,-0.01209754,-0.002918262,0.000946095,-0.004160807,0.000962394,0,0,0,0,-0.001736751,0,0,0.000909939,0,0,0.000920831,0,0.000979454,0.00360685,0,0
-0.045918383,-0.064516163,-0.0508022,-0.020689581,-0.018315019,0,0.002865304,0.015711653,0,-0.02450746,0,0,0,0,0.008690472,0,-0.002835514,0,0,0,0,0,-0.000938108,-9.15E-05,0,0,-0.000909112,0.000931988,0.000921592,-0.000919984,0.005405357,0.001956899,0,0,0
0.032620315,0.017241363,0,-0.007042302,-0.055970151,0.000490688,-0.002857117,0,0.001865625,0,0.000915772,0.005405357,0,0,-0.015468982,0,0.001895688,0,-0.000769175,0,0.001844973,0,0.004694854,0.000915772,0,-0.002062759,0.000909939,0,0,0.000460416,-0.004480304,0,0,0,0.004784707
0.009839489,-0.016949137,-0.07042247,-0.049645399,-0.011857678,-0.000490448,0.000955041,0,0.00093112,-0.015763532,0.000457467,-0.000896078,0,0.002737202,-0.007557623,0.000975632,0,0,-0.004041553,0,0,0,-0.003738314,0.002744715,0,0,0,0,0,0.001380611,0,-0.001953077,0.000898493,0,0.00380952
0.025641001,0.006896566,-0.060606091,0,-0.075999985,0.000981377,0,-0.018198345,0,-0.034534467,0.003200718,0.004484322,0,0.000909939,-0.01683367,0,0.000946095,0,0.002415422,0,-0.002762406,0.00362647,0.000938108,-0.002737202,-0.011524833,0,0,0,0,0,0,0,0,0,0
-0.047500014,-0.013698658,-0.109677449,0,-0.047619063,0,0.00095422,0.00648746,0.000930254,0.00777603,0,-0.000892878,0,0,-0.002038367,0,0,0,-0.001445816,0,0,0,0.000937229,0.003659649,0,0,0,0,-0.000920744,-0.000919139,0.000900111,0,0,0.000893676,0
0.016272976,0.031250013,-0.009057963,-0.007462679,-0.077272762,0.000980415,0,0,0,-0.004629637,0,0,0,0,0.036151971,0.000974681,0,0,0.000965273,0,0.001846764,0,-0.000468175,0,0,0,0.000909112,0,0,-0.000459992,0,0.000978403,0.002692974,0.006250058,0.003795063
-0.00826448,0.013468041,-0.082266942,-0.01503758,0.083743883,0,0.000953311,-0.005985229,0,0.007751918,0,-0.002680941,0,0,0.010841696,-0.000973732,0,0,0,0,0,0.002710089,0.000468395,0,0,0,0.000908286,0.004655511,0,0.000460204,0,0,0.002506703,0,0
0,0.019933595,-0.089641413,0.015267161,-0.027272745,0,0.009523846,-0.000463188,0,-0.001538497,0,0.039426572,0.004587174,0,0.002730097,0.001949269,0.002835514,0.005570981,0,0,0,-0.000900921,-0.000936351,0,0,0,0,0,0.018894002,0.000919984,0,0,0,0,-0.006805251
0,0.019543916,0.109409285,0,-0.042056058,-0.000979454,-0.00849058,0,0,-0.019003541,0,-0.035344895,0.001826526,0,-0.009140362,0.002918355,-0.001884967,0,0,0,0.000921592,0,0.000937229,-0.004557902,0,0,0,0,0,0,0,0,-0.002500436,0.001774579,0.006851879
-0.005208328,-0.05750801,-0.03747539,-0.00751879,-0.053658555,0,0.004757392,-0.001853522,0,0.007853383,-0.001185095,0,0.000911511,-0.004545472,0.017860644,-0.003879725,0,0,0,0,0,0,0.002808964,0,0,0,0,0,0,-0.000459569,0,0,0,0,0.001890402
-0.000523522,0.020339025,-0.004098369,0.030303001,0.005154659,0.000980415,0,0.000928438,0.000929389,-0.005714317,0,-0.003574617,-0.005464432,0,0.011762449,0,0.000944309,0,0,0,0.01012897,0,-0.000747,0,0.011659203,0,0,0,-0.014020867,0,-0.000899301,0.00097754,0,0,0
-0.002095373,-0.003322216,0.008230469,0.007352993,0.153846154,0,-0.003787875,0,0,0.012016795,0,0.001793763,0.004120886,-0.000913263,0.029540675,0.005842207,0,0.001385073,0.000964342,0,0,0.000901734,0.001681985,0,0,0.001168373,0,-0.002780327,0.000917452,0,0.000900111,0,0,0,0
0.128608991,0.0333333,0.028571425,-0.160583957,-0.079999966,-0.000979454,0.000475205,0,0,0.00361382,0,0,-0.00136802,0,-0.032395409,-0.00484029,0.000943328,0,0.000963413,0,0,0,-0.000932857,0,-0.011524833,0.003590661,0.000907375,0,0,0.000459781,0,0,0,0,0
0.004651158,-0.04193552,0,0.09565215,-0.028985525,0.000980415,0.001425211,0,0.000928438,-0.013374497,-0.000638858,-0.000895276,0,0,-0.022383814,0,-0.000942439,0.00138307,0.000962394,0,0,0,-0.002801096,0,0,0.00089439,0.000181311,0,0.006416104,0,0,0.000976585,0,-0.00885743,0.000943328
-0.004629625,0.043771084,0.025793673,0.0079365,-0.039801051,0,0.001897577,0,0.00185533,0.02659021,-0.003652965,0,0,-0.000914011,0.019569472,0.005836617,0,-0.000920744,-0.000961469,0,0,0,-0.003745315,0.001831456,0,0.000893676,-0.000181278,0,-0.004553665,0.000919139,0.003597119,0,0,0.004468292,0
0.004651158,0.12903223,-0.019342341,0.007874008,-0.051813474,0,-0.000946991,0,0,-0.0253936,0.001833223,0,0,0,0.004606558,0,0,0,0.000962394,0,0,0,-0.000939871,0.000914098,0,0,0,0,0.006404363,-0.000918295,0,0,0,0,0.003770025
-0.046296361,-0.017142807,0.023668568,0.015625048,-0.071038213,0,-0.001895778,0.00185533,0,-0.031266304,0.003659649,0,0.000913263,0.002927684,-0.024073334,0,0.000943328,0,0.00048078,0,0,0,0,0,0.008968644,0,0.000906639,0,0,0,-0.004480304,0,0.002685742,0.005338116,0
-0.009708729,-0.008720991,-0.013487417,0.0076923,-0.111764683,0.000979454,0,0,0,0.014523962,0.007292609,0,0,0.001642004,0.023296762,-0.003868468,0,0,0,0,0,0,0.001881421,0,0.021333313,0,0,0,-0.004545472,0.00183819,0,-0.001951264,0,0,0.004694854
