PLX,SMTI,SCWO,EPM,CMCL,MANH,FCEL,XOMA,MYGN,ABEO,FSI,VGZ,DGX,LXU,MTH,ATLO,FNLC,FNWD
0,0,0.66666626,0,0,-0.024390244,-0.059431525,-0.021052632,0.021857928,-0.071428597,0,0,-0.002083534,-0.125000284,-0.048780488,0,0,0
0,0,-0.199999561,0.235294009,0,0,-0.010989011,0,0.021390378,0,0,-0.25,-0.008350955,0.190476646,0.019230769,0,-0.027541421,0
0,0,0,1.952381236,0,-0.016666667,0.066666667,0.010752688,0.047120339,0.153846213,0,0,0.004210598,-0.120000167,-0.006289308,0,-0.015624876,0
0,0,0.249999313,-0.396774285,0,0.084745763,0.244791667,-0.042553191,0.20000005,0,0,0.333333333,0.039832546,0,-0.006329114,0,0,0
0,0,0,0,0,0.203125,0.175732218,0.044444444,0.04999994,0.600000033,0,-0.25,0.018145145,0,0.006369427,0,0,0
0,1,0,-0.165775163,0.500000156,-0.103896104,-0.112099644,0.063829787,0.009920704,0,0,0,-0.001980468,0,-0.050632911,0,0,-0.034883684
0,0,0,0.198717607,-0.333333403,0.02173913,-0.046092184,0.06,-0.003929274,0.156249958,0,0,-0.003968243,0,0.066666667,0,0.015872888,0
0,-0.25,0,-0.165775163,0.500000156,-0.021276596,-0.008403361,0.056603774,-0.003944774,0.153153195,0,0.333333333,0.037848775,-0.022726914,-0.0125,0,0,0
0,0.666666667,0.100000513,0,-0.333333403,-0.079710145,0.014830508,0.160714286,-0.062376283,0,0,-0.25,-0.044145778,0,0,0,0,0
-0.857142857,0.6,0.272727212,0,0,0.149606299,0.018789144,0.092307692,0.144667371,-0.007812571,0,0,0.018072353,-0.116278749,-0.012658228,0,0,0
5,0.5,2.142856769,0.089743435,0,-0.01369863,0.229508197,0.352112676,-0.030442781,-0.007874009,0,0.333333333,-0.005917494,0,-0.032051282,0,0,0
-0.333333333,-0.083333333,0.09090903,-0.047058881,0,0.027777778,0.333333333,-0.09375,0.050428079,0,0,-0.25,0.00595272,0.157893892,-0.046357616,0,0.015624988,0
0,0.454545455,0.125,-0.074073962,0.500000156,0.023648855,0.12,-0.022988506,0.014492819,0.134920676,0,0.333333333,0,0,-0.013888889,0,-0.015384604,0
0,0.5,0,0.246666411,-0.333333403,-0.036303824,-0.178571429,0.058823529,0.028571435,0.314685238,0,-0.125,0.00197242,-0.136363006,0.056338028,0,-0.015624876,0
0,0.041666667,0.111111111,-0.304812636,0.500000156,0.061643836,-0.048913043,0.266666667,-0.019097168,-0.14893615,0,0.142857143,0.009842292,-0.026316334,0.066666667,0,0,0.024096558
0,-0.16,0.033333374,0,-0.333333403,0.096774194,-0.025714286,-0.061403509,0.014159295,-0.049999956,0,0,0.122807621,0,-0.0125,0,0,0
0,0.047619048,0,0,0.500000156,-0.035294118,0,-0.112149533,0.012216348,0.157894723,0,0,-0.083333454,0,-0.006329114,0,0,0.023529187
