CHRD,SOBR,BRTX,DUOT,LRMR,UONE,OXBR,OMI,GENE,WIMI,ODV,PRTG,INLX,UGRO,BACK,ATXG,IVT
0.071651095,0.066666667,4.040000153,-0.020408204,0.018018001,0,-0.02500005,-0.05029041,-0.044117629,0,0,0,0,0,-0.024844737,0,0
0.052325531,-0.0625,-0.595238115,0.04166669,-0.026548647,0.091836767,0.192307745,0,0.066666628,0,0,0.136363636,0.142857143,0,0.025477724,0,0
0.002762494,-0.106666667,-0.147058826,-0.040000021,0.145454512,-0.070093499,0.031182779,0.030549898,1.168269237,0,0,-0.04,0,0,0.07453421,0,0
-0.066115703,0,-0.287356328,0,0.182539699,0.075376932,-0.002085479,-0.00395228,-0.277161872,0,0,0,-0.125,0,-0.080924868,0,0
-0.008849619,0.029850746,0.596774181,-0.041666628,-0.18120804,0.032710248,0.013584129,-0.005952417,0.45092029,0,0,-0.083333333,0,0,-0.006289292,0,0
-0.035714253,-0.15942029,-0.313131267,0,0.04918028,-0.085972875,-0.020618598,-0.021956095,-0.131078242,0,0,-0.045454545,0,0,0.006329098,0,0
-0.033950585,0.034482759,-0.088235348,0.084782617,-0.093750006,0.034653433,-0.036842071,-0.008163153,0.036496352,0,0,-0.133333333,0,0,-0.094339621,0,0
0,0,-0.112903199,-0.016032096,0.043103511,-0.0622009,-0.053551938,0.045267302,0.032863887,0,0,0.263736264,0,0,0.013888853,0,0
-0.003194961,-0.216666667,-0.181818182,-0.002036634,0.041322273,0,0,0.023622099,-0.086363619,0,0,-0.173913043,0,0,0.006849298,0,0
-0.025641002,-0.085106383,-0.111111111,0,0.023809501,0.040816287,0.154734416,0.11346156,-0.002487619,0,0,0.157894737,0,0,-0.013605408,0,0
-0.023026294,-0.069767442,-0.125,12.4693873,-0.054263516,0,-0.00999999,-0.048359068,-0.017456284,0,0,-0.172727273,0.142857143,0,-0.075862051,0,0
-0.067340083,0.125,-0.171428544,0.060606076,0.032786853,-0.019607825,0.030303001,0.179672999,0.071065968,0,0,0.208791209,0,0,-0.029850765,0,0
-0.061371869,-0.111111111,0.310344768,0,-0.039682502,0.034999967,0,0.035384737,0.052132719,0,0,-0.072727273,0,0,-0.058461507,0,0
-0.046153804,0,-0.236842071,0,-0.016528909,0,0.019607825,-0.005943596,-0.029279347,0,0,0.176470588,0,0.24999995,-0.005719033,0,-0.193548387
-0.032258034,-0.025,-0.241379319,0,-0.050420218,0,0.048076994,-0.062780226,0.004640389,0,0,0.25,0,-0.066666683,-0.022185637,0,0
-0.070833362,0,-0.227272722,-0.00285714,-0.026548647,0.009661827,-0.018348606,0.049441732,0,0,0,-0.133333333,-0.125,0,-0.067226932,0,0
0.031390104,0,-0.117647084,-0.025787941,0.0181818,0,0,0.010638242,-0.006928389,0,0,-0.076923077,0,0,0.018018087,0,0
-0.039130398,-0.076923077,-0.066666683,0,0.053571377,0,0,0.03609009,-0.076744168,0,0,-0.041666667,0,-0.142857094,0.061946855,0,0
0.031674177,0,-0.214285684,0.095588177,-0.050847411,0,-0.110280397,-0.031930074,0.032745572,0,0,0.043478261,0,0,-0.016666624,0,0
-0.013157882,0.083333333,-0.090909111,-0.020134177,0.026785689,-0.08612438,-0.025210135,-0.061469256,-0.046341501,0,0,-0.041666667,0,0.041666625,-0.06779665,0,0
-0.00444444,0.179487179,0,-0.001369894,-0.008695644,0.020942451,0.077586238,-0.038338814,-0.005115012,0,0,0,0,-0.039999962,-0.063636375,0,0
-0.008928563,0.260869565,-0.100000024,0,0.008771922,0,0.008999944,-0.073089573,-0.002570753,0,-0.021739167,0.130434783,0.142857143,-0.08333335,0.019417488,0,0
0.099099111,-0.051724138,-0.111111074,0.001371774,0.113043476,0.087179402,-0.04558964,0.111111073,0.018041257,0,0,0.061538462,0,0,0.009523785,0,0
-0.008196713,0.254545455,-0.375000009,0.027397233,-0.039062464,-0.023584884,0.053997909,0.030645143,-0.032911373,0,0,0.086956522,0,0.090909111,-0.056603751,0,0
-0.020661235,0,-0.199999988,0,-0.02439022,0.048309249,0.088669985,-0.023474322,0.002617761,0,0,-0.1,0,0,0.040000025,0,0
