YOTA,MNTN,RENE,TGAA,PLAO,CLRC,RFAC,THCP,AITR,SVII,LATG,ATMV,GDST,ALCY,FORL,IPXX,TLGY,SKGR,DUET,ENV,FTEL,BMR,SEZL,INSG,SWIN,NVAC,IROH,CSLM,NOVV,DAVE,LUNR,DJT,IBIO,AQU,DRUG,ATER,MBRX,TECX,HOLO,IVCP,ESHA,MARX,CBRG,VMCA,AY
0.00384615,0,0,0.005434821,0,0.002700332,0,0,0.000986122,-0.000368841,0,0,0,0,0,0.001926734,0,0.000923382,0,-0.023987148,-0.219512206,-0.099999974,-0.009345741,-0.04347822,-0.096085404,0,0,0,0,-0.025522073,-0.050847411,-0.000573079,-0.02173911,0.007483712,-0.091897787,-0.042979986,0.028138488,0.013888875,-0.097765365,0,-0.000878117,0.001409717,0.00183819,0,-0.014097798
-0.001915661,0,0.000911511,0.000450375,0.000899301,0,0,0,0.002955733,0,0,0,-0.001385073,0.002780377,0,-0.004326931,0,0.00092253,0,0.00206531,0,0.043209909,-0.04716981,0,-0.007874008,0,0,0,0,-0.013095198,-0.058035765,-0.005160559,-0.022222201,-0.001857053,0.023952145,-0.020958082,-0.042105224,0.013698617,-0.040247655,0,0,0.000469274,0.001834904,0,-0.000953311
0.002879053,0,0,-0.00090043,0,0,0,-0.000978496,0,-0.00092253,0,0,0,0,0,0.002414348,0,0,0,-0.004946448,0.015624985,0.130177457,-0.029702988,-0.090909111,-0.0079365,0,0,0,0,0,0.090047425,-0.006916475,-0.02272734,0,-0.005847948,-0.027522947,-0.076923132,-0.006756804,-0.100000012,-0.001839881,0,-0.000938108,0.002747228,0,0
0,0,0,0.009463681,0.001796901,-0.000897687,0,0,9.82E-05,0.001846764,0,0.000933728,0,0,0.007604555,0.001926734,0.000902548,0,-0.002727248,0.062344702,0.015384693,-0.020942389,-0.046428563,0.100000024,0,0.010752678,0,0.000918207,0.006550202,0.077201489,-0.004347822,0.000580396,0.007751931,0,0.105882319,-0.003144614,-0.144047614,-0.01360543,-0.129032274,-0.00092168,0.00195317,0.000938989,-0.001643804,0,0.008587801
0,0.002749746,0.000910768,-0.00892852,0,-0.002695394,0,0,0.000883982,0.000921592,0,0,0,-0.000382418,-0.002830253,-0.000961469,0,0,0,-0.000779897,-0.090909091,-0.037433183,-0.098983431,0,-0.056000042,0,0,0,0,-0.008958558,0.004366808,-0.00058006,0.023076994,0.0065116,0.06329785,0.006309161,0.001390886,-0.020689581,0.222222292,0,0.001949269,0,-0.001097703,0,-0.001419053
0,-0.001736751,0.000909939,0,0,0,0,0.000979454,0,0.000920831,0,0,-0.004160807,0.001434753,0.000946095,0.000962394,0.00360685,0,-0.000911598,-0.01209754,-0.1333334,-0.105555524,-0.02078387,-0.090909111,-0.105932208,0,0,0,0,0.097175098,0.230434775,-0.008705724,-0.015037669,0,-0.019509713,-0.028213176,0.038888883,0.021126683,-0.08080813,0,-0.002918262,0,0,0,-0.014211328
0,-9.15E-05,-0.000909112,0.005405357,0,0,0.000931988,0.001956899,0,-0.000919984,0,0,0,0.002865304,-0.002835514,0,0,0.000921592,0,0.008690472,-0.08461533,0.006211174,0.030927849,0,0.118483418,0,0,0,0,-0.031925893,-0.155476972,-0.009367673,-0.061068647,0.015711653,-0.045918383,-0.064516163,-0.0508022,-0.020689581,-0.018315019,0,0,-0.000938108,0,0,-0.02450746
0.004784707,0.000915772,0.000909939,-0.004480304,-0.002062759,0.005405357,0,0,0.000490688,0.000460416,0,0.001865625,0,-0.002857117,0.001895688,-0.000769175,0,0,0,-0.015468982,-0.075630278,-0.012345667,0.074117661,-0.050000012,-0.055084696,0,0,0,0,0.038297939,0.071129636,0.023640639,-0.048780537,0,0.032620315,0.017241363,0,-0.007042302,-0.055970151,0.001844973,0,0.004694854,0.000915772,0,0
0.00380952,0.002744715,0,0,0,-0.000896078,0,-0.001953077,-0.000490448,0.001380611,0,0.00093112,0,0.000955041,0,-0.004041553,0.000898493,0,0.002737202,-0.007557623,0.125000017,-0.093749984,0.136363622,0,0.139013426,0,0,0,0,0.048155666,0.011718739,0.290415749,-0.025641002,0,0.009839489,-0.016949137,-0.07042247,-0.049645399,-0.011857678,0,0.000975632,-0.003738314,0.000457467,0,-0.015763532
0,-0.002737202,0,0,0,0.004484322,0,0,0.000981377,0,0.00362647,0,0,0,0.000946095,0.002415422,0,0,0.000909939,-0.01683367,0.363636375,-0.041379352,0.171084301,-0.052631592,-0.025590574,-0.011524833,0,0,0,0.017595339,0,0.031319859,-0.052631529,-0.018198345,0.025641001,0.006896566,-0.060606091,0,-0.075999985,-0.002762406,0,0.000938108,0.003200718,0,-0.034534467
0,0.003659649,0,0.000900111,0,-0.000892878,0,0,0,-0.000919139,0,0.000930254,0,0.00095422,0,-0.001445816,0,-0.000920744,0,-0.002038367,0.229629583,0.079136702,0.301646097,0,0.094949553,0,0,0,-0.001301466,0.147934677,-0.007722001,0.109761422,0,0.00648746,-0.047500014,-0.013698658,-0.109677449,0,-0.047619063,0,0,0.000937229,0,0.000893676,0.00777603
0.003795063,0,0.000909112,0,0,0,0,0.000978403,0.000980415,-0.000459992,0,0,0,0,0,0.000965273,0.002692974,0,0,0.036151971,0.096385596,-0.033333302,0.165349402,0,0.136531321,0,0,0,0,0.029288735,0.015564188,0.031274403,-0.018518611,0,0.016272976,0.031250013,-0.009057963,-0.007462679,-0.077272762,0.001846764,0.000974681,-0.000468175,0,0.006250058,-0.004629637
0,0,0.000908286,0,0,-0.002680941,0.004655511,0,0,0.000460204,0.002710089,0,0,0.000953311,0,0,0.002506703,0,0,0.010841696,0.423076835,-0.027586262,-0.001356463,0,0.155844166,0,0,0,0,0.2,0.07279696,0.883623965,0.009434066,-0.005985229,-0.00826448,0.013468041,-0.082266942,-0.01503758,0.083743883,0,-0.000973732,0.000468395,0,0,0.007751918
-0.006805251,0,0,0,0,0.039426572,0,0,0,0.000919984,-0.000900921,0,0.005570981,0.009523846,0.002835514,0,0,0.018894002,0,0.002730097,0.003861,0.062411391,-0.093181206,0.05555557,-0.080898841,0,0,0.004587174,0,0.138888835,-0.010714276,0.021332288,0.009345785,-0.000463188,0,0.019933595,-0.089641413,0.015267161,-0.027272745,0,0.001949269,-0.000936351,0,0,-0.001538497
0.006851879,-0.004557902,0,0,0,-0.035344895,0,0,-0.000979454,0,0,0,0,-0.00849058,-0.001884967,0,-0.002500436,0,0,-0.009140362,0.088461549,0.014686218,-0.06321152,0.284210573,0.329462043,0,0,0.001826526,0,0.046995892,-0.046931364,-0.248275832,0.06481475,0,0,0.019543916,0.109409285,0,-0.042056058,0.000921592,0.002918355,0.000937229,0,0.001774579,-0.019003541
0.001890402,0,0,0,0,0,0,0,0,-0.000459569,0,0,0,0.004757392,0,0,0,0,-0.004545472,0.017860644,0.010600697,-0.06578949,0.063639202,-0.151639392,0.096551744,0,0,0.000911511,0.012163283,-0.048295475,-0.026515215,-0.084927957,-0.017391288,-0.001853522,-0.005208328,-0.05750801,-0.03747539,-0.00751879,-0.053658555,0,-0.003879725,0.002808964,-0.001185095,0,0.007853383
0,0,0,-0.000899301,0,-0.003574617,0,0.00097754,0.000980415,0,0,0.000929389,0,0,0.000944309,0,0,-0.014020867,0,0.011762449,-0.010489501,0.091549295,0.044497999,0.111111124,0.241090168,0.011659203,0,-0.005464432,0,-0.1208955,0,0.093669449,0.044247746,0.000928438,-0.000523522,0.020339025,-0.004098369,0.030303001,0.005154659,0.01012897,0,-0.000747,0,0,-0.005714317
