SMTI,SCWO,CMCL,OMEX,MED,FSI,EPM,ENSV,CLWT,CRK,PLX,DGX,CPSS,NVO,IOR,ASGN,WWW,MAT,RGR,DCO
0,0.66666626,0,0,0,0,0,0.201923041,0,-0.023255749,0,-0.002083534,0.04,-0.004646763,0,-0.017241379,0,0.009569108,-0.006993061,-0.086705158
0,-0.199999561,0,0,0,0,0.235294009,0,0,0.095238055,0,-0.008350955,0.076923077,-0.018673711,0.022222336,0.01754386,-0.024242583,-0.033175401,-0.01408444,0.031645552
0,0,0,0,0,0,1.952381236,0,0,0.065217419,0,0.004210598,-0.035714286,0.016174999,0,-0.004310345,0,0.024510127,0,0.030675025
0,0.249999313,0,0,0.090909044,0,-0.396774285,0,0,-0.081632619,0,0.039832546,0.148148148,0.02621669,-0.02173924,0.004329004,0.024844887,-0.028708273,0.049999967,-0.023809583
0,0,0,0,0,0,0,-0.167999975,0,-0.022222302,0,0.018145145,0.032258065,0.08211696,0.066666604,0.010775862,0.04242395,0.024630234,0.047618506,0.012195153
1,0,0.500000156,0,0.083333389,0,-0.165775163,0,-0.051282133,-0.022727283,0,-0.001980468,-0.125,-0.016863124,-0.020833505,-0.023454158,-0.034883653,0.028846442,0.02597424,-0.006024015
0,0,-0.333333403,-0.24000001,-0.076923124,0,0.198717607,0.201923041,-0.081080816,-0.046511574,0,-0.003968243,0.071428571,0.003430329,0,-0.030567686,-0.030120436,-0.014018795,0.037974883,-0.006060717
-0.25,0,0.500000156,0,0.750000308,0,-0.165775163,0,0,0.024390254,0,0.037848775,0.05,-0.013675127,0,-0.009009009,0.018633736,0.042654145,0.012195218,-0.024390306
0.666666667,0.100000513,-0.333333403,0,0.142856942,0,0,0,0,0,0,-0.044145778,0,-0.048527124,-0.021276257,0.063636364,-0.00609744,-0.059090828,-0.02409627,-0.024999965
0.6,0.272727212,0,0,0,0,0,0,0.470588086,0.142857044,-0.857142857,0.018072353,-0.111111111,-0.022768619,0,0.021367521,-0.012270248,-0.019323743,0.037036597,0.019230818
0.5,2.142856769,0,0,-0.083333294,0,0.089743435,0,0.040000059,0.02083341,5,-0.005917494,0,-0.015843143,-0.02173924,-0.016736402,0.031055852,-0.014778643,0.005952827,0.044025167
-0.083333333,0.09090903,0,0,-0.22727292,0,-0.047058881,0,-0.153846088,-0.020408237,-0.333333333,0.00595272,-0.035714286,0.024620839,0,-0.027659574,0.048192734,-0.01999994,-0.059171851,0.048192603
0.454545455,0.125,0.500000156,0,0,0,-0.074073962,-0.167999975,0.454545169,0.166666812,0,0,-0.037037037,-0.001848043,0,0.002188184,-0.034482603,-0.030612043,-0.050314231,0
0.5,0,-0.333333403,0,-0.058823246,0,0.246666411,0.099358958,0.031250126,-0.017857264,0,0.00197242,-0.038461538,-0.022222244,0,-0.03930131,-0.053571448,-0.073684456,-0.033112725,0.005747233
0.041666667,0.111111111,0.500000156,-0.31578949,0,0,-0.304812636,0.093294444,0.287878523,-0.036363595,0,0.009842292,0.12,-0.015151644,-0.022222404,0.022727273,0.037735958,-0.062499995,0.013698622,-0.01714281
-0.16,0.033333374,-0.333333403,0,0.06249968,0,0,-0.133333343,-0.152941077,0,0,0.122807621,-0.107142857,-0.003846389,0,-0.004444444,-0.042424041,0.072727227,0.006756696,-0.011627936
0.047619048,0,0.500000156,0,-0.058823246,0,0,0.076923164,0.041666661,-0.037735926,0,-0.083333454,0.08,-0.01737402,0,0.026785714,-0.069620671,-0.005649681,0.013423037,0.035293926
-0.090909091,-0.161290395,0,0,-0.062499893,0,0.676923117,0.428571429,0.120000116,0.019607916,0,0.018939254,-0.055555556,-0.018664388,-0.02272691,0.02173913,0,-0.01136324,0,0
0,-0.230769242,-0.333333403,0.438461564,0.066666545,0,0,0,-0.142857227,0,0,0.011152158,-0.039215686,-0.008008198,0,0.063829787,-0.006801973,-0.040230014,-0.013245245,-0.01704541
-0.05,-0.19999989,0,0.336898421,0,0,0,-0.3,0.111111142,0.019230778,0,-0.014705838,0.081632653,0.02219983,0,-0.048,-0.006850207,-0.005988323,-0.00671135,-0.028901535
-0.105263158,0,0.500000156,0,0,0,0,0,0,0.018868054,0,0.001865629,-0.169811321,0.018756285,0,0.012605042,0.013793251,0.138554428,-0.020270654,-0.00595249
-0.117647059,0,0,0,-0.187500036,0,0,0.428571429,-0.025000099,0.018518345,0,0.026070834,0.068181818,0.036821811,0,0.058091286,0.074830414,-0.07936485,0.027586548,-0.017964023
0,0.249999828,0,0,-0.076923124,0,0,0,-0.128204951,-0.036363595,0,0.021778228,0.021276596,-0.02990624,0,0.01372549,0.221518652,-0.011494499,-0.00671135,0.006097674
0,0.300000018,0.333333194,-0.480000019,0.166666682,0,0,-0.3,-0.058823683,-0.018867933,0,0.007104918,0.125,0.017340882,-0.023256,-0.011605416,-0.046632374,-0.011627994,0.006756696,0.018181766
0,-0.346153862,0,0,0.214285447,0,-0.403669739,0.228571338,0.156250087,0,0,0.008818563,-0.037037037,0.022727296,0,-0.115459883,-0.032608142,-0.017646859,0.013423037,-0.047619165
0,0,0,0,0.117647161,0,0.053845975,0,-0.297297267,-0.038461431,0,0.010489478,0.115384615,0.018518315,0.047618858,0.185840708,-0.056180087,0.029940001,0.019866926,0.025000065
0,0,0.500000156,0.438461564,0,0,-0.087591187,0,0.230769085,-0.040000142,0,0.006920256,0,0.016363601,-0.02272691,0,-0.011904886,-0.046511565,-0.032467149,-0.067073243
-0.133333333,0,-0.333333403,-0.278074851,0,1.500000136,0,-0.069767373,0.062500174,0.02083341,0,-0.029209641,0,-0.038461559,0,0.01119403,-0.030120436,0.042682639,-0.020134162,-0.026143755
0.076923077,0.411764807,0.25000036,0.385185155,0,0,0,0,-0.147058954,0.020408237,0,-0.019468724,0.017241379,0.019534713,-0.023256,0.033210332,0.186335485,0.06432765,0.013698622,0.006711427
0,0.083333282,0,-0.304812847,-0.210526061,-0.666666658,0,0.25,0.034482812,0.099999839,0,0.007219691,-0.118644068,0.011861577,0.023809719,0.014285714,-0.005235578,-0.038461362,0.040540066,0.013333367
-0.142857143,0,0,0.200000031,0,0,0,0,-0.033333383,0.127272787,-0.25,0.008960657,0.076923077,0.0532009,-0.023256,-0.014084507,-0.031579196,0.011428251,0.012987229,-0.013157928
-0.166666667,0,0,0,0.133332863,1,0,0,-0.310344792,0.064516156,0,0.00355253,-0.071428571,-0.078767126,0.023809719,0.028571429,0.016304521,-0.028248404,-0.019230495,0.053333257
0,0.076923174,0,0,-0.176470407,0,0.744000233,0.039999958,0.399999852,-0.03030314,0,-0.021238736,0.076923077,0.027881246,-0.023256,-0.020833333,-0.053475771,-0.029069656,0,0.012658261
0,0.28571423,0,0.19871794,0.214285447,0,0,-0.159615375,0.250000044,-0.046875024,0,0.019891404,0.017857143,0.037070594,0,-0.007092199,0,0,0,-0.024999965
0.2,0,0.19999978,0,0,0,0,0,-0.028571261,-0.065573699,0,0.007092248,-0.052631579,-0.000871762,0.047618858,-0.021428571,0.016949157,-0.011976306,0.013072106,0.019230818
-0.166666667,-0.111111145,0,0,-0.058823246,0,0,0.167048065,-0.029411805,0,0,-0.012324292,0.037037037,-0.042757486,0.068181766,-0.012773723,-0.016666671,-0.030302746,-0.032258416,-0.03144662
0.1,0,-0.166666514,-0.165775395,0.249999432,0,0,0,-0.030303148,-0.017543754,0,-0.001782207,0,-0.022789587,0.010638679,0.009242144,0.011299381,-0.031250141,0.039999871,-0.012986943
1.090909091,-0.156249968,0,0,-0.299999739,0,0,0,0.125000039,0.071428481,0,-0.02500021,0,-0.055970218,0,0.054945055,-0.039106382,0.006451661,-0.00523543,0
-0.043478261,0.203703749,0,0,0.714285691,-0.75,0,0.22549017,0,0.116666717,0,0.005494381,-0.071428571,0.000988055,-0.021052801,0.038194444,0.069767393,-0.012820517,0.026315889,-0.019736892
0.090909091,0.046153844,0.19999978,1,-0.33333327,0,0,0,-0.111111142,0.029850661,0,0.045537329,0.057692308,0.018756285,-0.032258035,0.026755853,-0.016304194,-0.006493739,0.006409886,0.013422746
0.041666667,0.058823491,-0.166666514,0.20192309,0,0,0,-0.120000047,0.031250126,-0.043478188,0,0.003485213,0.018181818,0.054263635,0.033333302,0,-0.027624433,-0.00653572,-0.01910781,-0.013244963
0.04,0,0,-0.253333357,0.312500107,0,0.146788837,0,0.242424138,0.030302847,0,0.024305262,-0.035714286,0.023897253,0,0.022801303,0,0.078947398,0.00649345,0
0.384615385,0.555555522,0.39999986,0,-0.142857212,0,0,0.136363697,-0.146341503,-0.014705701,0,0.045762935,0,-0.035009201,0.053763588,-0.035031847,0.005682135,-0.030487772,0,0.033557026
-0.083333333,-0.071428529,0.142856928,0.560714322,0.27777743,0,0.500000045,-0.120000047,0.085714419,0.194029829,0,-0.043760334,-0.074074074,-0.02139546,0,0.00990099,-0.016949412,-0.044025216,-0.032258419,-0.012986943
-0.151515152,0.038461514,0.25000036,0,0,0,0.146666396,0.078182031,0,-0.025000091,0,0.00847411,0.04,0.003802629,-0.040816656,0.049019608,0.005747101,-0.030286966,-0.006666393,0
0.035714286,0.055555556,0.09999974,0.716247153,0,0,0,0,2.473683718,-0.025640956,0,0.010084206,-0.076923077,-0.023674295,-0.021276257,0.049844237,-0.01142809,0,0,-0.006579069
-0.206896552,-0.105263158,0,0.166666667,-0.217391092,0,0,0.053962749,-0.113636318,0.013157815,0,-0.019966531,0.083333333,0.026188049,0.108695603,0.022255193,-0.00578084,-0.006849218,0,0
0.260869565,0.117647059,0.090909149,0,0,0,-0.465116146,0,-0.059829066,0.025974123,0,-0.003395643,0.057692308,0.027410155,0.00401582,0.008708273,-0.023255623,0.131034264,-0.053691145,-0.019867602
-0.034482759,-0.105263158,-0.249999896,0.070857184,0.055555335,0,0.630434761,-0.100799982,-0.118181819,-0.037974699,0,-0.025553686,-0.054545455,-0.010119691,0,0.021582734,0.035714119,-0.036585451,0.014183809,0.027027207
-0.178571429,-0.058823529,0,-0.066168659,-0.157894561,3,-0.360000155,0,0.072164855,0,0,0.01223762,-0.076923077,-0.007434508,0.059999981,0.011267606,0.011494201,0.037974776,-0.006992721,0
0.217391304,-0.166666641,0.222221987,0.106285731,0.125,0,-0.041666422,0,-0.019230705,-0.026315801,0,0.084628732,0.041666667,0.058052205,-0.056603757,-0.050139276,0.011364185,0.018292854,0.007041963,-0.02631596
-0.178571429,-0.299999991,-0.090908876,0.15702474,-0.111111111,0,0.043477994,0,-0.11764695,0.094594549,0,0.011146622,0.04,-0.012389341,0,-0.046920821,0.146066856,0.047904099,0.055944747,0.027027207
0,0.28571423,0,0.249999982,0.06249968,0,0,0,-0.066666762,-0.012345605,-0.416666667,-0.042519898,0,0.0107527,0.040000304,0.036923077,0.044117817,-0.005714125,-0.059602993,-0.02631596
0.086956522,-0.222222188,-0.10000004,-0.196428535,-0.117646693,0,0.041666888,0.067615682,-0.357142874,0.012499924,0,-0.059210356,0.038461538,0.018616855,0.09615375,0.019287834,-0.014084441,-0.022988662,0.028169238,0
-0.12,0.142857049,-0.111111327,-0.275555575,0.133332863,0,-0.127999883,0.041666623,-0.037037095,0.049382819,0,0.036713209,0.037037037,0.007832725,0.017543885,0.024745269,-0.004761524,-0.029411845,-0.020548441,-0.054053984
-0.227272727,-0.124999928,-0.124999836,-0.233128813,0,0,0,0,0.144230907,0.035294055,0,-0.008431644,-0.107142857,-0.006908265,0.017241199,-0.009943182,0,0.018182074,-0.027971915,0.02857139
-0.117647059,0,0,0.299200058,-0.117646693,0,0,-0.100799982,0.210084015,0,-0.428571429,-0.025509957,0.2,0.648093912,0,-0.015781923,-0.023924043,0,0.021582909,0
0,0,0,-0.15394088,0.066666545,0,0.10091705,0,0,-0.011363568,0,-0.010471656,-0.1,-0.005338155,0,-0.014577259,-0.049019461,0.005952296,0.007041963,0.013888926
0,0,-0.142857214,-0.090247501,0,0.150000029,-0.220833304,0,0.166666644,-0.034482771,0,0.063492585,0.111111111,0.012522308,0,0.00887574,-0.010309541,0.017751393,-0.020978736,-0.013698666
0,0,0,0.049600029,-0.125000071,-0.565217402,0.165775761,0.055160273,-0.047619003,0,0,-0.018242359,-0.133333333,-0.02826854,0,-0.002932551,0,-0.034883963,0.021428274,0
