CHRD,PRTG,INLX,LUMO,LIXT,APCX,NTRP,BACK,FNGR,GNPX,ODV,SOBR,UGRO,LRMR,IMRN,SCPX,CPHI,FAMI,DXR,CLRO,WKHS,EFSH,HYLN,FCPT,YUM,QUBT,AIM,COCP,DOMH,STRR,ONCT,MYO,FCUV,HOFV,FTFT,ZKIN,NVVE,FRES,CREX,CCM,BCDA,CYBN,DIT,NAII,NNDM,IMAB,TARA,NVNO,TC,BPTH,DSS,ALAR,DUOT,AIFF,BWMX,ISDR,IPA,LGTY,QRTEB,GB,CTGO,RDIB,WIMI,TCTM,ABVC,ADCT,ADV,AFBI,AGMH,AMRK,AP,ARMP,ASRT,ATNF,BLBX,BRBS,BRTX,BTTR,BYU,CEAD,CHR,CJJD,CLEU,CNF,COSM,DCTH,DSWL,DTSS,DTST,ELDN,ELVN,EQS,ESOA,FEDU,FKWL,FLUT,FORD,GAME,GEVO,GMGI,GREE,GYRO,HYMC,ICLK,IDR,ILLR,INDV,INTG,INTZ,IOR,IVDA,JSPR,KFS,KGEI,KROS,LEDS,LINK,LITB,LTBR,MAYS,MDJH,MGYR,MI,MIGI,NCTY,NISN,NIXX,NMTC,OMEX,PMTS,POCI,POWW,PRPH,PSHG,RETO,RIME,RZLT,SAVA,SBEV,SCWO,SGML,SKYE,SLNH,SNES,SPI,SURG,TFFP,TRAW,UK,UTZ,VCNX,VIRT,VRDN,VS,VTAK,WHLM,WKSP,XHG,XYF,YI,ZOM,ZTEK
0.071651095,0,0,-0.022123873,-0.117647059,-0.766153845,0.009185466,-0.024844737,0.08235293,-0.093548378,0,0.066666667,0,0.018018001,0.008426958,0.02173911,0.08,0.0125,0.017222804,-0.064864867,0,0.833333312,0,0.009527312,-0.003132054,0,-0.081967231,0,-0.057142804,-0.026615927,0.031784821,0.053380758,0,0,0,0.116541328,0,0,-0.031250019,0,0.025641026,0,-0.011304993,-0.011363656,-0.01568626,0,0.008583683,0,-0.116279073,-0.013317173,0.047468302,-0.010033419,-0.020408204,0,0,-0.002566273,-0.0047619,-0.002649004,-0.085748692,0.000387344,0,-0.095085215,0,0.050847408,-0.004975124,0,0,-0.031650975,0.001239186,0.005859343,-0.006514652,-0.046153875,-0.067226924,0,0,0.005778308,4.040000153,-0.092592593,-0.104895105,-0.053333311,0.004887585,0.010928934,0,0.0555555,-0.142259472,0,0,-0.018181818,0.076923121,0,0,-0.022346348,-0.263157898,0.029761844,0,0,-0.009901027,-0.07194249,0.004166663,0.24999995,-0.009090936,-0.004244028,0,0.015432098,-0.027777774,0,-0.020872935,-0.00026708,0.003636378,-0.009916104,-0.116279096,0,-0.0108108,0,0,0.023809616,0,0,-0.028747407,0,-0.102711854,0,0,0,0.147368421,-0.004893952,0.640909091,0.020408177,-0.015151501,-0.040296974,-0.00999999,0.116071424,-0.070351782,0.024390282,0,-0.041666628,0,0.34027776,-0.011764695,0,0,0.020689655,0.014925373,-0.019607843,0.053763453,0,-0.028037383,0.166666667,0,0,-0.01397201,0.023341545,0.051181148,0.017759469,0.017857143,0.076595776,0.0151515,-0.017667845,0.011363625,-0.006410251,0.003021109,0
0.052325531,0.136363636,0.142857143,0.004524882,0,0,0.030339827,0.025477724,-0.271739126,0.074733111,0,-0.0625,0,-0.026548647,-0.011142051,0.021276576,0.222222222,-0.061728395,0.010582051,0.069364164,0.04560253,0,0.004020097,-0.002903774,-0.000589056,0,0,0.018518501,-0.015151522,0.062500014,0,0.091216155,0,0.002849019,-0.018867908,-0.016835001,0,0,0.045161298,-0.007721964,0.0125,0,0.008128009,0.011494272,-0.00398406,0,0.106382983,0.018181818,-0.006578931,-0.001226975,0.012084657,-0.027027065,0.04166669,0,0,0.003430529,-0.043062162,0.009296108,0,0,0,-0.04676922,0,0,-0.02,0,0,0.030918762,0.006559462,0.007281638,-0.003278685,0,-0.027027001,0,0,0.002554086,-0.595238115,0,0.0859375,0.056338003,0,0.021621635,0,0.013157882,0.07317078,0,-0.011070125,-0.037037037,0,0.09836074,0,0,0.128571478,0,0,0,0.030000019,0.071059499,-0.02489634,-0.199999968,0.055045894,0.005860346,0,0.003039467,0.021428599,0,0.017441868,0,0.021739144,-0.003081661,0.157894745,0,-0.016393492,0,0,0.004651158,-0.139240521,0,-0.012684977,0,0.095579907,0,0.02,0,-0.064220183,-0.016393443,-0.058171745,-0.020000013,0.059692309,0.086187858,0.010101,-0.023999977,-0.016216203,-0.011904856,-0.064920273,0,0,-0.105699435,0,0,0.067692356,-0.040540541,0.455882353,0.078181818,0.020408143,0,-0.009615385,-0.06122449,0,0,0.010121457,-0.031212602,0.054307048,-0.034228162,0.035087719,-0.106719361,-0.074626882,0.04676259,-0.011235944,-0.011290274,-0.057228899,0.037037
0.002762494,-0.04,0,-0.045045109,0.066666667,0,-0.037102406,0.07453421,0.194029839,0.390728422,0,-0.106666667,0,0.145454512,0.012676078,-0.041666628,-0.151515152,0.052631579,-0.019895343,-0.0108108,0.024922215,0,0.003003072,-0.010921036,0.001768445,0.050847408,0.214285722,-0.109090879,0.023076933,0.10661763,-0.02132705,0.068111541,0,0,0.057692369,0.013698617,0,0,0.024691334,0,-0.046913555,0,0.011205168,0.060606002,-0.035999966,0,0.057692346,-0.046428544,0.0066225,-0.035626554,-0.05970148,0,-0.040000021,0,0.004794442,0,-0.00999999,-0.009868396,0,0.003872213,0.103448276,0,0,0.06854842,-0.020408163,0,0,-0.024164571,0.026312522,-0.008433855,-0.006578941,-0.103225788,0.06481475,0,-0.276363633,0.015614137,-0.147058826,-0.020408163,0.151079137,-0.066666667,-0.005836635,-0.026455026,0,0.056277107,-0.00454545,-0.125,0.022388089,-0.084615365,0.142857112,-0.070149307,0,-0.057142871,0,-0.04046237,-0.020920581,0,-0.009708775,0.387213463,-0.004255315,0,0.052173865,-0.006355876,-0.000965236,0.003030257,0.048950952,0,0.009523801,0,0.028368767,-0.014683121,0,0,-0.011111101,0,0,-0.013888875,0.051470539,-0.019047676,-0.004282651,-0.016260163,0.020689635,0,0.039215686,0,-0.009803922,0,0,0.020408177,0.112078954,-0.014242115,0.080000003,-0.032786951,0,0.012048289,0,0,0.107692278,-0.107763649,0,0,0,-0.049295775,-0.191919192,-0.038785835,-0.007499993,0.133333333,0.003883495,-0.02173913,-0.002010071,0,-0.018036095,-0.003097835,-0.026642917,0.063238417,0.127118644,-0.044247746,0,-0.013745704,-0.005681858,0.130505661,0,-0.035714252
-0.066115703,0,-0.125,0,0,0,0.019367948,-0.080924868,0.137500016,-0.159523778,0,0,0,0.182539699,0.006954063,0,0.107142857,-0.025,0.030982903,-0.021857967,0.030395135,0,0.000997932,0.001104077,0.001765167,-0.040322582,-0.044117692,0.020408143,-0.0150376,-0.006644544,0.007263904,0.043478241,0,0,-0.0181818,0.067567583,0,0,0.048192725,0.003890991,0.137305643,0,0,-0.027380899,0.016597494,0,0.181818182,0.350187199,-0.013157862,-0.012738854,-0.00634924,-0.006944405,0,-0.307692312,-0.005258648,0.009401762,-0.015151501,0.001993338,0.044914042,0.002892935,0,0,0,-0.03396225,-0.03125,0,0.048076925,0.053740823,0.013537788,0.017010969,0.009933765,-0.010791357,-0.060869508,-0.013465488,0,-0.021176474,-0.287356328,0,0.025,0,0,-0.048913057,0,0.026639367,0,-0.028571429,0.025547349,0.01680668,0,0.171749656,0,0.054545476,-0.012658291,-0.030120421,0,0,0.009803959,0.739130435,-0.021367502,0,0.049586798,0,0.000966169,-0.009063421,0.020000027,0,-0.018867908,-0.038728552,0,0,-0.090909072,0,-0.005617972,0,0,-0.009389774,-0.044289087,0.038834993,-0.05376344,0,-0.04425677,0,0.037735849,0,-0.00990099,0.001666641,0,0.007999992,0.08355096,-0.071207438,-0.064814826,-0.050847411,-0.021978049,-0.011904856,0.218026797,0,0,0.116883194,0,0,0,0.059259259,0.125,0.029824561,-0.030730473,0.029411765,-0.015473888,-0.022222222,0.004028238,0.001945586,0.002040793,0.001243085,0.020072987,-0.052287634,0.060150376,0,-0.225806475,0.084494774,-0.017142886,-0.07936504,0.022364215,0
-0.008849619,-0.083333333,0,0.033018951,-0.0625,0,0.005000019,-0.006289292,0.021978,-0.036827161,0,0.029850746,0,-0.18120804,0.022099493,0.108695622,-0.032258065,0.076923077,0.015544101,0.027933001,0.022123893,0,0,0.008455977,0.007929645,-0.075630222,0.123076994,0,-0.015267182,0.036789311,0.024038462,-0.063888937,0,0,-0.018518611,0.037974646,0,0,0,0.003875984,-0.070615001,0,0,0.034271693,-0.011428619,0,0.284615443,-0.134535328,0,-0.076129052,-0.015974482,0.069930069,-0.041666628,0,0,-0.001693519,0.082051202,0.003978808,-0.013906371,0.001923121,0,0,0,-0.023437515,-0.060215037,0,-0.029357771,0,-0.030732887,0.005973762,0.009836056,0.06181821,-0.00925925,0,0,0.010048023,0.596774181,0,0.054878049,0.100000048,0,0.0342857,0,-0.011976131,-0.063926987,0,-0.05693936,-0.091322278,0,0.301369858,0,0,-0.064102505,-0.006211238,0.042735105,0,0.009708682,0.25,-0.030567657,0,0.086614126,0,0,-0.012195052,0.045751658,0,0,0.040011074,0,0.020392175,0.024999976,0,0.022598849,0,0,0.075829428,0.048780707,0,0.088636331,0,0.042771316,0,0.103636378,-0.199999968,0.05,0.038269602,-0.311764706,-0.0079365,0.040963873,0.00555555,-0.009900981,0.071428609,0,0.012048289,-0.03,0.043478219,-0.097222198,-0.077907038,0,0,0.10951005,0,0,-0.037478705,0.033783751,0.108571407,0.033398821,0.045454545,0,0,0.008146663,-0.016759813,0.125223633,0.034482781,-0.021276596,0,0.145833384,-0.052208835,-0.029069694,0.018808759,0,-0.074074111
-0.035714253,-0.045454545,0,-0.041095959,0,0,0.005074591,0.006329098,0.021505356,0.117647013,0,-0.15942029,0,0.04918028,0.0054054,-0.058823541,0.1,0.119047619,0,-0.027173951,-0.010101076,0,0,0.005103854,-0.012335032,-0.309090918,0.013698617,-0.039999962,-0.015503883,0.070967767,-0.009389618,-0.020771518,0,0,0.132075578,0.008536621,0,0,-0.137931,0.023166038,-0.046568664,0,0.013513526,-0.052070957,-0.004128815,0,-0.101796448,-0.150641046,-0.00666665,-0.001396627,-0.022727261,0.013071883,0,0.444444454,0.003426495,-0.003392702,-0.004739332,-0.0184941,0,0.000959715,0,0,0,0.024000015,0.006864971,0,0.000945201,-0.004833301,-0.00121954,0.036816998,-0.058441504,0.044520504,0.03738314,0,0,0.011471332,-0.313131267,0,-0.046242775,-0.129870179,-0.006849285,-0.02762431,0,-0.024242402,-0.024390221,0,0,-0.099590717,-0.124999977,-0.057894722,0,0.011494242,0.095890399,0.012499999,-0.016393427,0,0.201923121,0.015999959,0.022522501,0,0.021739198,0,0,0.018518471,0.018750025,0,-0.036538451,-0.022441895,0.005172401,-0.016141432,-0.146341471,0,0.005524923,0,0,0.052863491,-0.058139638,0.009345785,-0.008350723,-0.008264463,0.016949136,0,0.136738042,0.312499988,0,0.038461562,0.008547009,-0.009999975,0.02777775,0.025414368,-0.025000016,-0.041666725,0.016853919,-0.02380956,-0.030927835,0.083333389,0.153846154,0.027742723,0,0,0,0.118881119,0,-0.056637168,-0.013071847,0.030927855,-0.020912548,-0.043478261,0,0.008737857,0.002020179,-0.039141356,0.144674055,-0.099999958,0.108695652,0,0.145454512,0.016101695,0.017964006,0.00923076,-0.031249971,0.039999962
-0.033950585,-0.133333333,0,-0.061904706,-0.079999987,0,-0.041876981,-0.094339621,0,0.010526306,0,0.034482759,0,-0.093750006,-0.005376339,0,0.060606061,-0.063829787,0,-0.027932935,0.040816372,0,0,0.013420279,-0.013275599,0.157894776,-0.148648666,0.041666625,0.023622058,0.009036121,-0.040284378,-0.036363603,0,0,0.083333251,-0.032648137,0,0,0.039999962,0,0.460154228,0,0,0.002496817,-0.01865665,0,-0.071666654,0.018867925,0,-0.034965035,-0.026578033,-0.045161278,0.084782617,0,-0.003902478,-0.015319175,0.016666708,0.007402464,0.125640923,0.014381555,0,0,0,0.01953125,-0.045454545,0,0.010387125,-0.006699039,-0.061660521,-0.014891043,0.031034452,-0.013114742,0.045045002,0,0,0,-0.088235348,0.020833333,0.006060606,0.089552202,-0.093596059,-0.017045411,0,-0.076604532,0.070000052,-0.029411765,0.018867881,0.025252525,-0.071428609,-0.162011205,0,0,0,-0.024691355,0.020833313,0,-0.128000031,0.251968574,-0.013215847,0,0.00709222,0.012793165,0.000965236,0,-0.024539874,0,0.03792414,0.015851271,0.029159533,0.027343705,-0.257142872,0,-0.032967066,0,0,-0.171548146,0.009876622,0,-0.016842089,0,0,-0.006451679,0.120289899,-0.047619076,0.114285714,0.072530814,-0.06779661,-0.090909114,-0.009009,-0.030172412,0.020512801,-0.034782576,0.005524904,-0.024390282,0.164893617,0,-0.066666667,-0.142331276,0,0,0,0.125,0.066666667,-0.052532833,0.023942909,-0.05,0.017475728,0.022727273,0,0.000962494,0.058467767,0.00788432,-0.059722264,0.097036946,0.013071895,0,0.031746002,-0.016680567,-0.011764695,-0.018292666,-0.029032269,0
0,0.263736264,0,0.010152274,0,0,0.012605883,0.013888853,-0.052631592,-0.080729154,0,0,0,0.043103511,-0.045945966,-0.083333327,-0.085714286,-0.045454545,-0.040816384,0,0.025210019,0,0,-0.005368476,0.003787176,0.022727251,0.063492098,0.24000001,-0.061538488,-0.083582067,0.024691358,-0.012578604,0,0,0.123076994,-0.021874979,0,0,0,0.026415123,-0.066901375,0,0,0.046077198,-0.002112427,0,-0.03052066,0.001851824,0.053691223,0.010144883,0.051194482,0.064189175,-0.016032096,0,0,-0.023336172,0,-0.015364094,0.002277998,-0.000945201,0.003124952,0,0,-0.019157088,-0.047619048,0,0,0.011633749,-0.009108676,0.002325518,-0.016722392,-0.003322256,0,0,0,0.011759862,-0.112903199,-0.12244898,-0.054216867,-0.013698538,0.111956555,0.023121328,0,0,0.004672893,0,0.09259258,0.032019654,0,-0.055999968,0,0,-0.050000026,0.082278532,0.008163257,-0.053571429,0.027522954,0.179245264,0.013392844,0,-0.035211262,0,-0.000964305,0.003030257,0,0,-0.036538451,0,0.016666667,-0.003802223,0.269230866,0,0.039772757,0,0,0.020202001,0.00244481,-0.046296326,-0.012847953,0,-0.021666686,0,-0.068564073,-0.199999968,-0.076923077,0.086330935,0.136363636,0.044444473,-0.011363679,0.026666721,-0.020100484,-0.054054109,0.005494547,0.05000008,-0.123287671,-0.038461562,-0.014285701,0.075822636,0,0,-0.109740204,-0.111111111,0.03125,0.033663366,-0.009950239,0,0,-0.022222222,-0.005015045,0.004807658,-0.034285759,0.000651865,0.057607095,-0.039837959,0.012903226,0,0,-0.059372349,-0.017857173,0.003105587,-0.036544875,0.038461618
-0.003194961,-0.173913043,0,0,0,0,0,0.006849298,-0.011111101,-0.033994302,0,-0.216666667,0,0.041322273,-0.002832859,0,-0.0625,-0.011904762,0.026595746,0.057471278,-0.013661203,0,0,0.017272405,0.005162641,0.066666709,0.104477599,0.096774165,-0.01639345,-0.03583063,0.028915681,-0.025477683,0,0.002840859,0.178082181,0.092651742,0,0,-0.025641002,-0.025735321,0.035849037,0,0,0.057142919,-0.043183742,0,0.037037037,0.007393744,0.019108313,0.025825009,0.006493541,-0.034920647,-0.002036634,0,0,0.015929146,-0.004683836,0.01221169,-0.006818295,0,0,0.011592896,0,-0.136718748,-0.025,0,0.027102801,-0.011499961,0.013788578,-0.003480251,-0.006802714,-0.033333302,-0.017241363,0,0.005025121,-0.006799919,-0.181818182,-0.139534884,-0.01910828,-0.055555588,-0.000977577,-0.028248588,0,0.038116609,-0.023255902,-0.090909091,0.016949114,0.016706493,0,0.014124242,0,-0.017045438,-0.026315765,0.035087713,0.008097158,0,-0.00892852,-0.25066664,-0.035242257,0,-0.043795694,0,0,0,0,0,-0.015968037,-0.022598773,-0.001639319,-0.044274802,0,0,-0.021857967,-0.222222215,0,-0.014851471,0,0.019417535,0.047722296,0,-0.011924991,0,0.027777778,0.312499988,-0.018518519,-0.058278166,0,-0.004255349,0.022988484,-0.015151513,0.015384642,0.114285724,0,-0.03571434,0.120833333,0,-0.021739144,0.12367019,0,0,0,0.125,-0.141414141,-0.013409962,-0.032663345,-0.078947368,0.009351192,0,0,0.014354148,-0.013806661,0.005863161,-0.053072598,-0.015471165,0.292993631,-0.074074111,-0.015384601,-0.012623986,0.030303051,-0.001548023,-0.006896566,0
-0.025641002,0.157894737,0,0,-0.057971028,0,0.009693905,-0.013605408,0.011235945,0.055718421,0,-0.085106383,0,0.023809501,-0.017045438,-0.25,-0.033333333,-0.012048193,-0.018652783,-0.010869555,-0.022160645,0,0.001994064,0.010258157,0.00908751,0.062499938,-0.027027001,-0.058823533,-0.033333349,0.02364861,-0.002341974,0.02941171,0,0,0.023255791,-0.014619938,0,0,-0.006578889,0,-0.07832419,0,0,0.018018001,0.013274324,0,-0.006428582,0.018348624,0.006249984,0.06853149,-0.016129074,-0.023026278,0,0,0,0.01480837,0.03529414,0.004691669,0.006865104,0.069063436,0,0,0,0.1312217,-0.102564103,0,0.000909939,0.002950586,-0.038989592,0.009895195,-0.006849308,-0.003448272,0.061403556,0,0,0.006851171,-0.111111111,-0.027027027,-0.032467532,0.029411752,0,0.005814013,0,0.015118724,0.06666672,-0.073333359,0,0.004694764,-0.076923064,-0.038997193,0,-0.005780341,0.0135135,-0.008779421,0,0,-0.009009043,0.007117419,0.031963439,0,-0.015267162,-0.000526328,0.001930546,0.081571024,0.006289281,0,-0.060851929,0.008257617,0.001642011,0,-0.090909091,0,0.005586587,0,0,0.005025121,0.090243998,0.0190476,0.016563131,0,0.01379309,0,-0.108108108,-0.047619076,-0.018867925,0.077355839,0,-0.008547,-0.029213403,-0.12197802,-0.010101,0.034188105,0,0,-0.084572491,-0.040000025,-0.037037037,0.021301812,0,0,0,-0.083333333,0.058823529,0.145631068,0.054545466,0.014285714,-0.00737384,-0.022727273,0.003024173,0.004811326,0.011999977,0.009067332,0.017699145,-0.035714197,0,0,-0.07812502,0.140639269,-0.011764695,0.012403163,0.031250013,0
