MANH,FCEL,AXTI,SRDX,FORR,EGY,VGZ,USPH,CPSS,NVO,UHS,CBRL,BKH,VTR,ESE,UNH,OKE,TJX,ALB,EMR,SOTK,ELSE,LXU,NVEC,CNX,PLX,EPM,MED,ENSV,RDNT,COR,EHC,WRB,HUM,SKYW,LH,MD,DVA,MTH,PXLW,CRK,EOG,PTEN,RRC,NOV,XOMA,MYGN,REGN,VRTX,CLDX,AVDL,MBOT,CDMO,ABEO,ASYS,EXC,PPL,CNP,THC,D,CB,ORI,AJG,ALL,STT,SMTI,SCWO,CMCL,OMEX,CLWT,EMKR,CIEN,CHKP,JNPR,NTAP,TENX,CVV,ALNT,RAND,WILC,DGX,COLM,TTEK,TK,FL,FSI,MET,MO,IDA,RNR,EG,SEIC,NVR,LEN,TOL
-0.024390244,-0.059431525,-0.023333333,-0.075664622,-0.032319288,0,0,0.095588245,0.04,-0.004646763,-0.02013431,-0.013422734,-0.008571081,0,0.021621573,-0.012790432,-0.01259472,-0.05230784,0,-0.011943601,0.217391304,0,-0.125000284,-0.333333402,-0.018405175,0,0,0,0.201923041,0,-0.068272836,0.023809746,-0.030769007,0.008264451,-0.016357813,-0.034482816,0.00877193,-0.018181954,-0.048780488,0,-0.023255749,0,-0.009999117,-0.022222376,-0.025640982,-0.021052632,0.021857928,-0.025380711,-0.079866889,-0.108108108,0.028571429,0.170212766,-0.052631592,-0.071428597,-0.025641026,-0.007379933,0.025352183,0.011235838,-0.00779217,0.024589754,-0.007663283,-0.033333456,-0.045186335,-0.031915207,-0.055555543,0,0.66666626,0,0,0,-0.069078979,-0.043820225,-0.090389048,-0.043968206,-0.126470759,-0.166666667,-0.125,0,-0.119999988,0,-0.002083534,-0.086835216,-0.070833041,0.011811092,-0.017857195,0,0,0.008000434,-0.004785087,-0.023147963,-0.002857143,-0.074674086,-0.012080537,-0.007843607,-0.037542475
0,-0.010989011,-0.013651877,0.057522124,-0.015717207,0,-0.25,-0.006711248,0.076923077,-0.018673711,0.04109629,0,0.034582456,-0.015624676,0.010581811,-0.0023559,0.010204198,-0.029220729,0.017360917,0.018681393,0,0,0.190476646,0,0.012500158,0,0.235294009,0,0,-0.05882356,0.077586178,0,-0.015873352,0.024589925,0.031042182,0,0.104347826,-0.083333333,0.019230769,0,0.095238055,-0.028225976,0.030302767,-0.022726947,0.017543799,0,0.021390378,-0.041666667,-0.016274864,0.121212121,-0.111111111,0.018181818,-0.05555557,0,-0.078947368,0.048327744,0.021978082,0.04166699,0.01570673,0.027199888,-0.057914836,0,0.004115059,0.043956202,0.018026518,0,-0.199999561,0,0,0,0.017667926,-0.064629847,-0.010062855,-0.007601251,0.055555556,0,0.142857143,-0.071429097,0.227272758,-0.039999973,-0.008350955,-0.006134649,0.040358692,-0.003891273,-0.009090539,0,0,-0.005291191,0.036058092,0.004739617,0.065902579,0.006615366,-0.002717391,0.003952808,0.021276652
-0.016666667,0.066666667,0.027681661,-0.037656904,-0.041916194,0,0,-0.027026638,-0.035714286,0.016174999,0.074012884,-0.078231236,0.008356696,0.015872681,-0.010471009,0.036599897,0,0.060201293,0.034129695,0.028047365,0,0,-0.120000167,0,0.04320982,0,1.952381236,0,0,0.062500035,0.076000053,-0.011627791,0.058065279,0.040000356,0.043010591,-0.017857078,0.188976378,-0.03030303,-0.006289308,0,0.065217419,0.082987288,0.073529218,0.023255473,0.038793297,0.010752688,0.047120339,0.010869565,-0.014705882,0.067567568,0,0.071428571,0.588235318,0.153846213,0,0.001772311,-0.01344055,0.005332745,0.06185573,0.010903494,0.053278246,0.014778745,-0.001793391,-0.00526266,0.041938964,0,0,0,0,0,0.111111101,-0.077889447,-0.068694445,-0.044044678,-0.106060543,0,0,0.153846492,-0.148148219,0,0.004210598,0,-0.051724335,0,0.018348786,0,0,-0.018616931,0.006960322,-0.006289678,0.045698925,-0.020499717,0,0,-0.024305469
0.084745763,0.244791667,-0.013468013,-0.030434783,0.033333344,-0.10080002,0.333333333,0.055555279,0.148148148,0.02621669,0.082695173,0.055350291,0.00828695,-0.015624676,-0.005290994,0.117311922,0.037878183,0.025236096,-0.01650198,0.045120648,-0.142857143,0,0,0,0.029585598,0,-0.396774285,0.090909044,0,-0.05882356,0.130111163,0.082353344,-0.015244547,0.076922899,0.049484552,0.036363696,0.132450331,0.104166508,-0.006329114,0,-0.081632619,-0.011494368,0.031963368,0,0.070539147,-0.042553191,0.20000005,0.11827957,0.087686567,0.037974684,0.03125,0.033333333,0.518518566,0,-0.014285714,0,0.019073497,0.015915564,0.072815517,0,0.128405106,0.009708136,0.03874799,0.037036558,0.035777715,0,0.249999313,0,0,0,-0.098437501,0.258855586,0.047156177,0.041266181,0.21320265,-0.038461538,0,0,0.152174039,0,0.039832546,-0.027777944,0.013636625,0.019531407,-0.045045773,0,0,0.027100235,0.016129246,0.011076006,0.053984576,0.048165442,0.019073569,0.019685162,0.017793332
0.203125,0.175732218,0.030716724,-0.031390135,-0.01008051,0,-0.25,0,0.032258065,0.08211696,0.048090435,0.034965276,0,0.015872681,0.010638363,-0.01732936,-0.002432006,-0.015384512,-0.003355312,-0.052208713,0,0,0,0.33333364,0.005747384,0,0,0,-0.167999975,0,0.026316034,0.032608146,-0.009287881,-0.042856788,0.041257336,-0.017543981,-0.052631579,0.018868071,0.006369427,0,-0.022222302,0.007751747,-0.022123728,-0.022726947,-0.007752029,0.044444444,0.04999994,0.115384615,0.030874786,0.073170732,0.03030303,0.112903226,-0.024390249,0.600000033,0.028985507,0.060177482,-0.010695328,-0.01305488,-0.013574699,0,0.031034394,0,-0.036561051,-0.022958878,-0.006045052,0,0,0,0,0,0.168110851,0.114718615,0.103583058,0.001923604,0.042646858,0.04,-0.125,0,-0.018867968,0.020833319,0.018145145,0.003174482,0.008968408,0.01915712,0.066037887,0,0,0.013192558,-0.002268081,-0.003129977,-0.004878049,0.015316905,0.013368984,0.007721831,0.020979079
-0.103896104,-0.112099644,-0.130794702,-0.027777778,-0.020366863,0,0,0,-0.125,-0.016863124,-0.039136194,0.027026674,-0.013698457,-0.015624676,-0.005263234,0.002074855,-0.012195782,-0.015624698,-0.003367056,-0.002118811,0.125,0.206349322,0,0,-0.011429082,0,-0.165775163,0.083333389,0,0,0.03205137,0.115789628,-0.015624774,-0.014925722,-0.00377325,-0.035714283,-0.037037037,-0.009259118,-0.050632911,0,-0.022727283,0.007692193,0.009049757,-0.023255971,0,0.063829787,0.009920704,-0.028017241,0.053244592,0.159090909,0.058823529,0.246376812,-0.150000035,0,0.014084507,-0.006677666,-0.008107897,-0.007936312,-0.034403611,0.003081932,-0.046822613,-0.014422699,-0.006153565,-0.002611196,0.019982723,1,0,0.500000156,0,-0.051282133,-0.002967342,-0.062135922,-0.043683624,-0.004991988,-0.069111323,-0.038461538,0,-0.033333588,0.115384602,-0.020408149,-0.001980468,-0.047468352,-0.039999809,0.003759265,-0.026548588,0,0,0.005208663,-0.01363607,-0.006279311,0.00245098,-0.066540807,0.002638522,-0.019157209,-0.03082178
0.02173913,-0.046092184,-0.005714286,-0.028571429,-0.049895717,0.112099668,0,0.003289179,0.071428571,0.003430329,-0.004213594,-0.036183988,-0.027778407,-0.015873438,0,-0.009316749,0.024691404,-0.009524019,0.006756413,0.013800531,0,-0.078947619,0,0,0.017341005,0,0.198717607,-0.076923124,0.201923041,0,0,-0.028301962,-0.003174966,0.022727496,-0.068182264,0,-0.006410256,-0.009346078,0.066666667,0,-0.046511574,0.001835984,-0.008968593,-0.023809761,-0.04296871,0.06,-0.003929274,0.002217295,-0.011058452,0.019607843,-0.013888889,-0.023255814,0.088235318,0.156249958,0,0.008403307,0.00544937,0.015999375,0,0.007680288,0.035087803,0.014633757,-0.008256181,0.005235996,0.0161835,0,0,-0.333333403,-0.24000001,-0.081080816,-0.002976174,-0.01863354,-0.059259259,-0.049787872,0.056060798,-0.04,0,-0.034482242,-0.103448265,0.208333275,-0.003968243,-0.036544407,0.037036895,-0.017301365,-0.009090539,0,0,0.005180873,0.020737036,0.011058507,0.002444988,-0.004906192,0.006578947,0.007812485,-0.035335855
-0.021276596,-0.008403361,0.030651341,-0.029411765,-0.00765873,-0.10080002,0.333333333,0.026229906,0.05,-0.013675127,0.038081775,-0.003413217,0.020000405,0.016129468,0.068783182,0.031348226,0.021686937,0,0.013423106,0.030366523,0,0.142857812,-0.022726914,0,0.051136335,0,-0.165775163,0.750000308,0,0,0.177018486,0.126213719,-0.00636913,0.096296333,0.018292903,0.055555683,0.070967742,0.047169962,-0.0125,0,0.024390254,0.019083666,0.072398141,0.073170808,0.040816727,0.056603774,-0.003944774,0.004424779,0,0.307692308,0.070422535,0.071428571,0.297297247,0.153153195,-0.055555556,0.029999963,0.005420184,-0.002624459,0.035629391,0.013719726,0.07118599,-0.014422699,-0.002081506,0.033854215,0.024308954,-0.25,0,0.500000156,0,0,0.149253728,0.054852321,0.038713951,0.021729877,-0.016140845,-0.041666667,0,0,-0.038461558,0,0.037848775,0.006895895,0,-0.0193052,-0.018348786,0,0,0.010309281,0.027088403,0.001562296,0.004878049,0.020301533,0.022222222,0.023255851,0.054945204
-0.079710145,0.014830508,-0.029739777,0.015151515,-0.007717838,0.055160197,-0.25,-0.003195019,0,-0.048527124,-0.004075739,0.013698996,-0.011204421,0.015872681,0.009900885,-0.001013476,-0.009434182,0.009615598,-0.019867493,-0.009146474,0,0.099999802,0,0,-0.005405024,0,0,0.142856942,0,0.12500007,-0.063324447,-0.043103588,-0.019230213,-0.108108332,-0.017964284,0,-0.024096386,0.036035899,0,0,0,0.018726795,0.004219524,0.068182023,0.019607437,0.160714286,-0.062376283,0.022026432,0.124600639,-0.088235294,-0.026315789,-0.111111111,0.041666679,0,0.066176471,-0.003236397,-0.005390964,-0.026315671,-0.009174198,0.001503379,0.041138634,0.004878263,-0.005213768,-0.025189022,0.035188675,0.666666667,0.100000513,-0.333333403,0,0,0.101298727,0.069,0.192672057,0.081693976,0.092964461,0,0,0,-0.019999973,-0.137931017,-0.044145778,0.013699281,-0.022321559,0.027559294,-0.02803711,0,0,-0.010204085,0.021978466,0.003119522,0.026699029,-0.000568722,-0.001278772,0.003788029,0.027777887
0.149606299,0.018789144,0.007662835,0.067164179,-0.048888954,0,0,-0.0769228,-0.111111111,-0.022768619,-0.001364994,-0.01351387,-0.008499039,0.015624955,0.029411945,-0.042596005,-0.016666113,-0.031746499,-0.02027066,-0.012307596,-0.111111111,-0.181818515,-0.116278749,0,0.016304799,-0.857142857,0,0,0,-0.111111166,-0.042253694,-0.027027015,0.016338685,0.045454738,0.022357731,-0.017543981,0,0,-0.012658228,0,0.142857044,0.003676357,0.042016968,0.085106319,0.038461839,0.092307692,0.144667371,0.172413793,-0.035511364,0.032258065,0.297297297,0.05,0.05000006,-0.007812571,0.062068966,-0.021103915,-0.008130451,-0.008107755,-0.006944517,-0.001501122,-0.066868741,0.014563059,0.007337874,-0.005168211,-0.032411467,0.6,0.272727212,0,0,0.470588086,0.056603694,0.04303087,0.026747947,0.047408863,0.260839934,0.173913043,0.071428571,0,0.142857175,0.179999963,0.018072353,0.006756305,-0.015981777,0.011494266,0.038460973,0,0,-0.051546117,-0.004301281,0.010887024,0,0.00341357,-0.021766965,-0.007547233,0.00337835
