KNW,LIXT,DVAX,CHCI,BHRB,ISDR,MRKR,PRTG,SMTI,SGRP,QUBT,LFMD,NEPH,CYTH,SCWO,WFCF,DYAI,MITK,CTSO,HGBL
0,0,-0.015238081,0.196721348,0,0,0,0,0,-0.0135135,0,0,-0.166666681,0,0,0,0,0.052631608,0,0
0.111111111,0,0.013539666,-0.082191794,-0.006998191,0,0,0,0.089108911,-0.013698617,0,0,0,0,0,-0.333333384,0,0,0,0
0,0,-0.024809218,0.164179098,0,0,0.571428571,-0.178571429,0.136363636,0,0,0,-0.149999989,0,0,0.59999994,0,0,-0.166666667,0
0,0,0.021526464,-0.115384636,0,0,-0.045454545,0.086956522,0,0.02777775,0,0,0,0,0,0,0,0,0,0
0.7,0,0.009578544,-0.173913028,0,0,0.095238095,-0.08,0.64,0,0,0,0.058823566,0,0,-0.187499965,0,-0.125000028,0,0
0,0,0.032258079,0.035087746,0,0,0.260869565,0,-0.024390244,0,0,0,0.027777706,0,0,0.153846234,0,-0.057142804,0.25,0
0,0,-0.049632366,0.237288134,0,0,0.034482759,0,0,0,0,0,0.324324309,0,0,0,0,0,0,0
0,0,0.056092798,-0.013698663,0,0,-0.233333333,0,-0.25,-0.148648666,0,0,0.183673528,0,0,0,0,0.181818092,0,0
0,0,-0.029304002,-0.013888923,0.003915408,0,0.043478261,0,0,0.111111101,0,0,0.206896534,0,0,0,0,-0.153846089,0.2,0
-0.529411765,0,0.045283048,0.042253531,0,0,0.375,0,0,0,0,0,0.214285714,0,0,0,0,0,-0.166666667,0
0,0,0.012635324,-0.108108101,0,0,0.090909091,0.065217391,0.333333333,0.028571487,0,0,-0.035294078,0,0,0,-0.375000009,0,0,0
0,0,-0.008912656,0.060606108,0,0,-0.138888889,-0.102040816,-0.24,-0.013888958,0,0,0.060975607,0,0,0,0,0,-0.12,0
0,0,-0.01079134,0.04285715,0.002340244,0,-0.032258065,0.045454545,-0.013157895,-0.014084494,0,0,-0.057471262,-0.333333333,0,-0.20000009,-0.199999988,0,-0.090909091,0.225806427
0,0,0.007272755,-0.027397327,0,0,0,-0.173913043,0.166666667,0,0,0,-0.146341499,0,0,0,0,0.181818092,0,-0.078947373
0,0,0,-0.014084446,0.011673094,0,-0.2,0.105263158,-0.142857143,0.128571478,0,0,0.028571477,0,0,0.250000141,0.075000002,-0.153846089,-0.25,0
0,0,0.012635324,0.057142802,0,0,0,0,0.32,-0.037974722,0,0,-0.027777824,0,0,0,0.023255791,0,0,0
0,0,0.085561554,-0.054054004,-0.00769247,0,0,0.19047619,0,-0.026315765,0,0,0.071428571,0.5,0,0,0.022727251,0,1.133333333,0
0.25,0,0.006568107,0.071428551,0,0,-0.291666667,0,-0.015151515,0.027027001,0,0,0,0,0,0,0,0,-0.375,0
