SMMT,DTSS,GCTS,FFIE,SEZL,JXN,VCTR,LC,MLI,SLG,CRVS,WLFC,COMM,ZETA,SWIM,DRUG,ATER,MBRX,TECX,HOLO,HYLN,TPC,FTAI,IESC,PRM,SMR,INSG,EBS,AEYE,ASPI
0.02272725,0.016759805,-0.000946005,-0.11500001,-0.009345741,-0.023398776,-0.015708434,-0.021939906,-0.013951524,-0.041158525,0.062500008,-0.01877342,-0.027972002,-0.053571408,-0.019999981,-0.091897787,-0.042979986,0.028138488,0.013888875,-0.097765365,-0.024764114,-0.027654867,-0.012795098,-0.001033081,-0.071895406,-0.082802542,-0.04347822,-0.088803099,-0.033264002,-0.045977036
-0.0037037,0,0.000946901,-0.022598849,-0.04716981,-0.002030426,0.010237885,0.003541881,-0.00261208,0.008176258,0.128342187,-0.00085036,-0.017985595,0.011320774,-0.036734755,0.023952145,-0.020958082,-0.042105224,0.013698617,-0.040247655,0.013301061,-0.002275256,0.023240244,0.014606996,-0.011737133,-0.00694452,0,0,0.060214995,0.030120526
-0.052044648,0.043956002,0.000946095,-0.080924869,-0.029702988,0.004882968,-0.009537994,0.007058873,-0.012221767,-0.002478049,-0.023696661,0.005531879,0.003663,0.011194049,0.029661091,-0.005847948,-0.027522947,-0.076923132,-0.006756804,-0.100000012,-0.017899744,0.014823165,0.004586134,-0.021021806,0.002375238,-0.08391609,-0.090909111,-0.067796549,-0.083164272,0.02339179
0.164705915,-0.052631531,0,0.188679266,-0.046428563,0.019437115,0.015648524,0.032710248,0.016350016,0.032520381,0.09223304,0.005924727,-0.014598526,0.060270574,0.057613112,0.105882319,-0.003144614,-0.144047614,-0.01360543,-0.129032274,0.104495704,0.020224754,0.028695646,0.007287939,0,-0.015267162,0.100000024,-0.0181818,0.026548647,0.017142841
0.030303001,0.061111096,-0.000945201,-0.058201044,-0.098983431,-0.015888764,-0.028740777,-0.013574647,-0.005652137,-0.00437447,0.071111149,0.005889751,-0.0037037,-0.008120614,-0.027237329,0.06329785,0.006309161,0.001390886,-0.020689581,0.222222292,0.022002245,-0.036343604,-0.012679596,0.000387581,-0.004739332,-0.04263562,0,-0.037037111,-0.004310341,0.005617972
-0.016339854,-0.020942388,0,-0.050561793,-0.02078387,0.006659977,0.006406434,-0.012614749,-0.003279439,0.014938495,-0.078838195,0.001463816,-0.018587342,0.067836247,0.015999985,-0.019509713,-0.028213176,0.038888883,0.021126683,-0.08080813,0.022604917,0.031999969,-0.002568552,0.009686168,-0.030952296,0.024291475,-0.090909111,0.043269306,0.004329,0.089385525
-0.013289024,0,0.000946095,0.011834308,0.030927849,0.000601419,0.022734161,-0.012775803,-0.00197412,-0.027489187,-0.027027001,-0.00626434,-0.064393966,0.017524627,-0.074803173,-0.045918383,-0.064516163,-0.0508022,-0.020689581,-0.018315019,-0.019999994,-0.015503809,0.042918456,0.000639589,0.027026942,-0.075098838,0,-0.032258142,-0.008620682,0
0.043771002,-0.032085615,0,0,0.074117661,0,0.005631257,-0.024705887,-0.003956051,0.010238128,0.083333251,-0.010506409,0,0.038751309,0,0.032620315,0.017241363,0,-0.007042302,-0.055970151,-0.0021482,-0.006749203,-0.006790083,0.014316695,-0.004784685,0.0042735,-0.050000012,-0.023809502,0.084782581,0.0205128
0.116129079,-0.088397796,0,-0.029239784,0.136363622,-0.025245408,-0.002357849,-0.033775601,-0.001103249,-0.017625011,-0.111111111,-0.016776405,-0.020242895,-0.030051811,-0.004255315,0.009839489,-0.016949137,-0.07042247,-0.049645399,-0.011857678,0.076426242,-0.011325072,-0.00145017,0.000252102,-0.002403787,-0.076595675,0,-0.009756088,0.014028091,-0.035175906
-0.031791946,-0.15757571,0.000945201,-0.01807232,0.171084301,0.001027734,0.00443136,-0.02122348,0.006406029,-0.035658223,-0.014423064,0.00345572,-0.041322372,-0.026709403,-0.017094001,0.025641001,0.006896566,-0.060606091,0,-0.075999985,-0.091000021,-0.045818974,0.016597494,0.013607083,-0.012048238,-0.059907885,-0.052631592,-0.0541872,0.035573089,-0.005208328
