PRTG,INLX,LUMO,AMLI,LRMR,BACK,FNGR,HIVE,RVYL,GNPX,LFMD,GMGI,EP,SOBR,APCX,NTRP,FTFT,ZKIN,NVVE,FRES,MRIN,REPX,LDWY,BTOG,CYBN,DIT,NAII,NVNO,TC,BPTH,CREX,CCM,BCDA,ONCT,FCUV,HOFV,BWMX,ISDR,DSS,ALAR,DUOT,AIFF,EFSH,HYLN,CHRD,LIXT,MCRB,PHGE,CTGO,RDIB,ABVC,ADCT,ADV,AGMH,ICCH,INDV,ARMP,DTSS,LTBR,BLBX,BRTX,CHR,CLEU,CNF,COSM,EQS,DTST,ELVN,ESOA,FKWL,GREE,GYRO,HYMC,ICLK,ILLR,INTG,IOR,JSPR,KGEI,SYPR,INTZ,LITB,MAYS,MDJH,MGYR,MI,MIGI,NIXX,NMTC,CEAD,PMTS,POWW,PRPH,RETO,RIME,RZLT,SAVA,SBEV,SCWO,SGML,BYU,SLNH,SNES,SPI,PSHG,UK,VCNX,VIVK,VS,VTAK,WKSP,XHG,ZTEK,NISN,ZOM
0,0,-0.022123873,0.107843139,0.018018001,-0.024844737,0.08235293,0.142857179,0,-0.093548378,0.076923098,0.24999995,0,0.066666667,-0.766153845,0.009185466,0,0.116541328,0,0,-0.013888875,0.079999974,-0.013698663,-0.037974684,0,-0.011304993,-0.011363656,0,-0.116279073,-0.013317173,-0.031250019,0,0.025641026,0.031784821,0,0,0,-0.002566273,0.047468302,-0.010033419,-0.020408204,0,0.833333312,0,0.071651095,-0.117647059,-0.023880575,0.010362694,0,-0.095085215,-0.004975124,0,0,0.001239186,-0.015217394,-0.020872935,-0.046153875,-0.018181818,-0.028747407,0,4.040000153,0.004887585,0,0.0555555,-0.142259472,-0.022346348,0.076923121,0,-0.263157898,0,-0.009090936,-0.004244028,0,0.015432098,0,-0.00026708,-0.009916104,0,0,-0.023809502,0.003636378,0,0,-0.102711854,0,0,0,0.640909091,0.020408177,-0.053333311,-0.040296974,0.116071424,-0.070351782,0,-0.041666628,0,0.34027776,-0.011764695,0,0,-0.104895105,0.014925373,-0.019607843,0.053763453,0.024390282,0,-0.01397201,-0.076464731,0.017759469,0.017857143,0.0151515,-0.017667845,0,-0.004893952,0.003021109
0.136363636,0.142857143,0.004524882,0.176991183,-0.026548647,0.025477724,-0.271739126,0,0,0.074733111,-0.142857094,-0.199999968,0,-0.0625,0,0.030339827,-0.018867908,-0.016835001,0,0,0.084506957,0.037037026,0.097222272,0.010526289,0,0.008128009,0.011494272,0.018181818,-0.006578931,-0.001226975,0.045161298,-0.007721964,0.0125,0,0,0.002849019,0,0.003430529,0.012084657,-0.027027065,0.04166669,0,0,0.004020097,0.052325531,0,0.003058101,-0.01025641,0,-0.04676922,-0.02,0,0,0.006559462,0,0.017441868,0,-0.037037037,-0.012684977,0,-0.595238115,0,0,0.013157882,0.07317078,0,0,0,0.128571478,0,0.055045894,0.005860346,0,0.003039467,0,0,-0.003081661,0,0,0,0.021739144,0,0,0.095579907,0,0.02,0,-0.058171745,-0.020000013,0.056338003,0.086187858,-0.023999977,-0.016216203,-0.064920273,0,0,-0.105699435,0,0,0.067692356,0.0859375,0.455882353,0.078181818,0.020408143,-0.011904856,0,0.010121457,0.06989245,-0.034228162,0.035087719,-0.074626882,0.04676259,0.037037,-0.016393443,-0.057228899
-0.04,0,-0.045045109,0.20300748,0.145454512,0.07453421,0.194029839,0.249999981,0,0.390728422,-0.08333335,0,-0.1333334,-0.106666667,0,-0.037102406,0.057692369,0.013698617,0,0,-0.006493449,0.035714348,-0.075949378,-0.031249988,0,0.011205168,0.060606002,-0.046428544,0.0066225,-0.035626554,0.024691334,0,-0.046913555,-0.02132705,0,0,0.004794442,0,-0.05970148,0,-0.040000021,0,0,0.003003072,0.002762494,0.066666667,-0.027438998,-0.001036254,0.103448276,0,-0.020408163,0,0,0.026312522,0,0.009523801,-0.103225788,-0.084615365,-0.004282651,-0.276363633,-0.147058826,-0.005836635,0,0.056277107,-0.00454545,-0.057142871,0.142857112,0,0,-0.020920581,0.052173865,-0.006355876,-0.000965236,0.003030257,0,0,-0.014683121,0,0,0.01219511,0.028368767,-0.019047676,-0.016260163,0.020689635,0,0.039215686,0,0,0.020408177,-0.066666667,-0.014242115,-0.032786951,0,0,0,0.107692278,-0.107763649,0,0,0,0.151079137,-0.191919192,-0.038785835,-0.007499993,0.012048289,-0.002010071,-0.018036095,-0.017587944,0.063238417,0.127118644,0,-0.013745704,-0.035714252,0,0
0,-0.125,0,0.187500012,0.182539699,-0.080924868,0.137500016,-0.100000024,0,-0.159523778,0.090909111,0,0.153846242,0,0,0.019367948,-0.0181818,0.067567583,0,0,-0.058823523,-0.120689648,0.041095897,0.040322581,0,0,-0.027380899,0.350187199,-0.013157862,-0.012738854,0.048192725,0.003890991,0.137305643,0.007263904,0,0,-0.005258648,0.009401762,-0.00634924,-0.006944405,0,-0.307692312,0,0.000997932,-0.066115703,0,-0.021943627,-0.004668097,0,0,-0.03125,0,0.048076925,0.013537788,0,-0.018867908,-0.010791357,0.01680668,-0.05376344,0,-0.287356328,0,0,0.026639367,0,0.054545476,0,0,-0.012658291,0,0.049586798,0,0.000966169,-0.009063421,0,-0.038728552,0,0,0,-0.012048182,0,0.038834993,0,-0.04425677,0,0.037735849,0,0,0.007999992,0,-0.071207438,-0.050847411,-0.021978049,0.218026797,0,0,0.116883194,0,0,0,0.025,0.125,0.029824561,-0.030730473,-0.011904856,0.004028238,0.002040793,-0.098209678,-0.052287634,0.060150376,-0.225806475,0.084494774,0,0.001666641,0.022364215
-0.083333333,0,0.033018951,-0.068421035,-0.18120804,-0.006289292,0.021978,0,0,-0.036827161,0.1666666,0,0,0.029850746,0,0.005000019,-0.018518611,0.037974646,0,0,0.069444375,0.039215672,0.013157837,0.015503902,0,0,0.034271693,-0.134535328,0,-0.076129052,0,0.003875984,-0.070615001,0.024038462,0,0,0,-0.001693519,-0.015974482,0.069930069,-0.041666628,0,0,0,-0.008849619,-0.0625,-0.003205125,-0.031787343,0,0,-0.060215037,0,-0.029357771,-0.030732887,0.023546703,0,0.06181821,-0.091322278,0.088636331,0,0.596774181,0,0,-0.011976131,-0.063926987,0,0,0,-0.064102505,0.042735105,0.086614126,0,0,-0.012195052,0,0.040011074,0.020392175,0,0,0.048780514,0,0,0,0.042771316,0,0.103636378,-0.199999968,-0.311764706,-0.0079365,0.100000048,0.00555555,0.071428609,0,-0.03,0.043478219,-0.097222198,-0.077907038,0,0,0.10951005,0.054878049,0,-0.037478705,0.033783751,0.012048289,0,0.008146663,0.131026628,0.034482781,-0.021276596,0.145833384,-0.052208835,-0.074074111,0.038269602,0
-0.045454545,0,-0.041095959,0.101694868,0.04918028,0.006329098,0.021505356,0,0.124999975,0.117647013,0,0,-0.20000005,-0.15942029,0,0.005074591,0.132075578,0.008536621,0,0,0.038961106,0.056603716,0.02597409,-0.010178156,0,0.013513526,-0.052070957,-0.150641046,-0.00666665,-0.001396627,-0.137931,0.023166038,-0.046568664,-0.009389618,0,0,0.003426495,-0.003392702,-0.022727261,0.013071883,0,0.444444454,0,0,-0.035714253,0,-0.077170424,-0.047362771,0,0,0.006864971,0,0.000945201,-0.00121954,-0.014378132,-0.036538451,0.044520504,-0.099590717,-0.008350723,0,-0.313131267,-0.006849285,0,-0.024242402,-0.024390221,0.011494242,-0.124999977,0,0.095890399,-0.016393427,0.021739198,0,0,0.018518471,0,-0.022441895,-0.016141432,0,0,0.093023235,0.005172401,0.009345785,-0.008264463,0.016949136,0,0.136738042,0.312499988,0.008547009,-0.009999975,-0.129870179,0.025414368,-0.041666725,0.016853919,-0.030927835,0.083333389,0.153846154,0.027742723,0,0,0,-0.046242775,0,-0.056637168,-0.013071847,-0.02380956,0,0.002020179,-0.09227684,-0.099999958,0.108695652,0.145454512,0.016101695,0.039999962,0.038461562,-0.031249971
-0.133333333,0,-0.061904706,0.082051299,-0.093750006,-0.094339621,0,0,0,0.010526306,-0.142857094,0,0.250000078,0.034482759,0,-0.041876981,0.083333251,-0.032648137,0,0,-0.018750031,-0.089285652,-0.025316517,-0.015424126,0,0,0.002496817,0.018867925,0,-0.034965035,0.039999962,0,0.460154228,-0.040284378,0,0,-0.003902478,-0.015319175,-0.026578033,-0.045161278,0.084782617,0,0,0,-0.033950585,-0.079999987,0.041811892,0.039548023,0,0,-0.045454545,0,0.010387125,-0.061660521,0.006564563,0.03792414,-0.013114742,0.025252525,-0.016842089,0,-0.088235348,-0.093596059,0,-0.076604532,0.070000052,0,-0.071428609,0,0,0.020833313,0.00709222,0.012793165,0.000965236,0,0,0.015851271,0.027343705,0,0,-0.06382979,0.029159533,0,0,0,-0.006451679,0.120289899,-0.047619076,-0.06779661,-0.090909114,0.089552202,-0.030172412,-0.034782576,0.005524904,0.164893617,0,-0.066666667,-0.142331276,0,0,0,0.006060606,0.066666667,-0.052532833,0.023942909,-0.024390282,0,0.058467767,-0.110497223,0.097036946,0.013071895,0.031746002,-0.016680567,0,0.072530814,-0.029032269
0.263736264,0,0.010152274,-0.033175353,0.043103511,0.013888853,-0.052631592,0,-0.111111091,-0.080729154,0.1666666,0,0,0,0,0.012605883,0.123076994,-0.021874979,0,0,0.076433149,0.098039141,0.012987045,0.036553498,0,0,0.046077198,0.001851824,0.053691223,0.010144883,0,0.026415123,-0.066901375,0.024691358,0,0,0,-0.023336172,0.051194482,0.064189175,-0.016032096,0,0,0,0,0,0.033444784,0.032608696,0.003124952,0,-0.047619048,0,0,-0.009108676,0.003623202,-0.036538451,-0.003322256,0.032019654,-0.012847953,0,-0.112903199,0.111956555,0,0,0.004672893,0,0,0,-0.050000026,0.008163257,-0.035211262,0,-0.000964305,0.003030257,0,0,-0.003802223,0,0,0.056818196,0.016666667,-0.046296326,0,-0.021666686,0,-0.068564073,-0.199999968,0.136363636,0.044444473,-0.013698538,0.026666721,-0.054054109,0.005494547,-0.123287671,-0.038461562,-0.014285701,0.075822636,0,0,-0.109740204,-0.054216867,0.03125,0.033663366,-0.009950239,0.05000008,-0.005015045,-0.034285759,0.003726734,-0.039837959,0.012903226,0,-0.059372349,0.038461618,0.086330935,-0.036544875
-0.173913043,0,0,-0.024509781,0.041322273,0.006849298,-0.011111101,0,0,-0.033994302,0,0,0,-0.216666667,0,0,0.178082181,0.092651742,0,0,-0.053254432,0.035714348,-0.025641001,0.007556688,0,0,0.057142919,0.007393744,0.019108313,0.025825009,-0.025641002,-0.025735321,0.035849037,0.028915681,0,0.002840859,0,0.015929146,0.006493541,-0.034920647,-0.002036634,0,0,0,-0.003194961,0,0.05825245,0.001052616,0,0.011592896,-0.025,0,0.027102801,0.013788578,0,-0.015968037,-0.033333302,0.016706493,0.047722296,0.005025121,-0.181818182,-0.000977577,0,0.038116609,-0.023255902,-0.017045438,0,0,-0.026315765,0.008097158,-0.043795694,0,0,0,0,-0.022598773,-0.044274802,0,-0.222222215,0.021505356,-0.001639319,0.019417535,0,-0.011924991,0,0.027777778,0.312499988,0,-0.004255349,-0.055555588,-0.015151513,0.114285724,0,0.120833333,0,-0.021739144,0.12367019,0,0,0,-0.01910828,-0.141414141,-0.013409962,-0.032663345,-0.03571434,0,-0.013806661,-0.071782188,-0.015471165,0.292993631,-0.015384601,-0.012623986,0,-0.058278166,-0.006896566
0.157894737,0,0,-0.005025136,0.023809501,-0.013605408,0.011235945,0,0.124999975,0.055718421,0,0,0,-0.085106383,0,0.009693905,0.023255791,-0.014619938,0,0,0.018749932,0.017241338,0.03947369,0.020000013,0,0,0.018018001,0.018348624,0.006249984,0.06853149,-0.006578889,0,-0.07832419,-0.002341974,0,0,0,0.01480837,-0.016129074,-0.023026278,0,0,0,0.001994064,-0.025641002,-0.057971028,0.064220196,-0.019978986,0,0,-0.102564103,0,0.000909939,-0.038989592,0,-0.060851929,-0.003448272,0.004694764,0.016563131,0,-0.111111111,0,0,0.015118724,0.06666672,-0.005780341,-0.076923064,0,0.0135135,0,-0.015267162,-0.000526328,0.001930546,0.081571024,0,0.008257617,0,0,0,0.052631592,0.001642011,0.0190476,0,0.01379309,0,-0.108108108,-0.047619076,0,-0.008547,0.029411752,-0.12197802,0.034188105,0,-0.084572491,-0.040000025,-0.037037037,0.021301812,0,0,0,-0.032467532,0.058823529,0.145631068,0.054545466,0,0.003024173,0.011999977,0,-0.035714197,0,-0.07812502,0.140639269,0,0.077355839,0.031250013
