EPM,MED,SMTI,SCWO,MANH,TENX,FCEL,VGZ,DGX,LXU
0,0,0,0.66666626,-0.024390244,-0.166666667,-0.059431525,0,-0.002083534,-0.125000284
0.235294009,0,0,-0.199999561,0,0,-0.010989011,-0.25,-0.008350955,0.190476646
1.952381236,0,0,0,-0.016666667,0,0.066666667,0,0.004210598,-0.120000167
-0.396774285,0.090909044,0,0.249999313,0.084745763,-0.038461538,0.244791667,0.333333333,0.039832546,0
0,0,0,0,0.203125,0.04,0.175732218,-0.25,0.018145145,0
-0.165775163,0.083333389,1,0,-0.103896104,-0.038461538,-0.112099644,0,-0.001980468,0
0.198717607,-0.076923124,0,0,0.02173913,-0.04,-0.046092184,0,-0.003968243,0
-0.165775163,0.750000308,-0.25,0,-0.021276596,-0.041666667,-0.008403361,0.333333333,0.037848775,-0.022726914
0,0.142856942,0.666666667,0.100000513,-0.079710145,0,0.014830508,-0.25,-0.044145778,0
0,0,0.6,0.272727212,0.149606299,0.173913043,0.018789144,0,0.018072353,-0.116278749
0.089743435,-0.083333294,0.5,2.142856769,-0.01369863,-0.037037037,0.229508197,0.333333333,-0.005917494,0
-0.047058881,-0.22727292,-0.083333333,0.09090903,0.027777778,-0.038461538,0.333333333,-0.25,0.00595272,0.157893892
-0.074073962,0,0.454545455,0.125,0.023648855,0.08,0.12,0.333333333,0,0
0.246666411,-0.058823246,0.5,0,-0.036303824,0.074074074,-0.178571429,-0.125,0.00197242,-0.136363006
-0.304812636,0,0.041666667,0.111111111,0.061643836,0.103448276,-0.048913043,0.142857143,0.009842292,-0.026316334
0,0.06249968,-0.16,0.033333374,0.096774194,-0.1375,-0.025714286,0,0.122807621,0
0,-0.058823246,0.047619048,0,-0.035294118,0.15942029,0,0,-0.083333454,0
0.676923117,-0.062499893,-0.090909091,-0.161290395,-0.073170732,-0.21875,-0.073313783,0,0.018939254,0
0,0.066666545,0,-0.230769242,-0.065789474,0.12,-0.050632911,0,0.011152158,-0.027026529
0,0,-0.05,-0.19999989,0.007042254,0,0.123333333,0,-0.014705838,0.083332857
0,0,-0.105263158,0,0.083916084,0.071428571,0.056379822,-0.25,0.001865629,0
0,-0.187500036,-0.117647059,0,0.077419355,0.066666667,0.070224719,0.333333333,0.026070834,0
0,-0.076923124,0,0.249999828,0.02994012,0.0625,0.060367454,0,0.021778228,-0.128204791
0,0.166666682,0,0.300000018,0.063953488,-0.117647059,-0.044554455,0,0.007104918,0
-0.403669739,0.214285447,0,-0.346153862,0.071038251,-0.166666667,-0.005181347,0.125,0.008818563,0
0.053845975,0.117647161,0,0,0.510204082,0.12,-0.06640625,0.111111111,0.010489478,0.11764717
-0.087591187,0,0,0,-0.047297297,1.428571429,0.026499303,0,0.006920256,-0.18421127
0,0,-0.133333333,0,-0.09929078,-0.220588235,0,-0.1,-0.029209641,0.064516243
0,0,0.076923077,0.411764807,-0.003937008,0.245283019,0.097826087,0,-0.019468724,0.060606236
0,-0.210526061,0,0.083333282,0.019762846,-0.054545455,0.034653465,0,0.007219691,0.028572038
0,0,-0.142857143,0,-0.015503876,-0.038461538,0.045454545,0,0.008960657,0.027777252
0,0.133332863,-0.166666667,0,-0.031496063,-0.033333333,0.041189931,0,0.00355253,0.081080659
0.744000233,-0.176470407,0,0.076923174,0.044715447,0.068965517,-0.050549451,-0.111111111,-0.021238736,0
0,0.214285447,0,0.28571423,0.003891051,0.483870968,0.194444444,0.125,0.019891404,0.100000242
0,0,0.2,0,-0.034883721,0.826086957,0.100775194,0,0.007092248,0
0,-0.058823246,-0.166666667,-0.111111145,0.024096386,0.083333333,-0.056338028,-0.111111111,-0.012324292,0
0,0.249999432,0.1,0,0.003921569,-0.054945055,0.001865672,0,-0.001782207,0.022727703
0,-0.299999739,1.090909091,-0.156249968,0.015625,0.046511628,0.012104283,0,-0.02500021,0
0,0.714285691,-0.043478261,0.203703749,0.042307692,0.061111111,0.100275989,0,0.005494381,0.022221862
0,-0.33333327,0.090909091,0.046153844,0.10701107,0.242931937,-0.026755853,0,0.045537329,0
0,0,0.041666667,0.058823491,0.046666667,0.684919966,0.008591065,0,0.003485213,-0.043478326
0.146788837,0.312500107,0.04,0,0.025477707,-0.205,0.189097104,0,0.024305262,-0.022726914
0,-0.142857212,0.384615385,0.555555522,0.111801242,0.176100629,-0.011461318,0,0.045762935,0.023255438
0.500000045,0.27777743,-0.083333333,-0.071428529,0.05027933,-0.053475936,-0.092753623,0,-0.043760334,-0.204545383
0.146666396,0,-0.151515152,0.038461514,0.015957447,-0.129943503,0.044728435,0,0.00847411,0.08571498
0,0,0.035714286,0.055555556,0.005235602,-0.097402597,-0.02293578,0,0.010084206,-0.052631624
0,-0.217391092,-0.206896552,-0.105263158,-0.09375,-0.100719424,0.057120501,-0.125,-0.019966531,-0.027778354
-0.465116146,0,0.260869565,0.117647059,-0.08045977,0.4,-0.011102887,0.142857143,-0.003395643,-0.028570904
0.630434761,0.055555335,-0.034482759,-0.105263158,-0.1875,-0.085714286,-0.097305389,0,-0.025553686,0
-0.360000155,-0.157894561,-0.178571429,-0.058823529,0.115384615,0.0125,-0.102819237,-0.125,0.01223762,-0.058823585
-0.041666422,0.125,0.217391304,-0.166666641,0.096551724,0.061728395,0.01663586,0,0.084628732,0.031249334
0.043477994,-0.111111111,-0.178571429,-0.299999991,0.031446541,-0.040697674,0.103636364,0.142857143,0.011146622,-0.151514801
0,0.06249968,0,0.28571423,0.222560976,-0.109090909,-0.044481054,0,-0.042519898,-0.07142866
0.041666888,-0.117646693,0.086956522,-0.222222188,-0.027431421,0.006802721,-0.075862069,0,-0.059210356,0
-0.127999883,0.133332863,-0.12,0.142857049,-0.01025641,0.013513514,0.044776119,0,0.036713209,0
0,0,-0.227272727,-0.124999928,-0.020725389,0.153333333,0.1875,-0.125,-0.008431644,-0.07692318
0,-0.117646693,-0.117647059,0,0.058201058,0.092485549,0.012030075,0.142857143,-0.025509957,0.166666908
0.10091705,0.066666545,0,0,0.08,-0.047619048,-0.02526003,0,-0.010471656,-0.107142282
-0.220833304,0,0,0,0.115740741,-0.027777778,-0.030487805,-0.125,0.063492585,0
0.165775761,-0.125000071,0,0,0.058091286,-0.091428571,-0.05581761,0.142857143,-0.018242359,0
0.431192627,0.142857236,0,0,0.017647059,-0.050314465,-0.017485429,0,-0.001689419,0
-0.198718037,-0.125000071,-0.2,-0.035714328,0.055876686,0.034437086,0.061016949,-0.125,0.076142419,0.03999923
0,0.035714106,0,0.037037082,-0.072992701,-0.052496799,-0.10543131,0.142857143,0.001571853,0
0.371999714,0,-0.083333333,-0.035714328,-0.208661417,-0.108108108,-0.028571429,0,-0.036106436,-0.192307186
-0.090378719,-0.034482591,-0.272727273,0.037037082,0.231343284,0.007575758,0.007352941,0,0.045602405,0
0,0,0.375,-0.214285705,-0.070707071,0.127819549,0,-0.25,0.03271053,0.214285453
0,0,0,0.09090903,0.034782609,-0.053333333,-0.01459854,0.166666667,0.01357471,-0.098038966
0,-0.142857154,-0.090909091,-0.166666718,-0.025210084,0.063380282,-0.07037037,-0.142857143,-0.011904844,0
0,0,-0.2,0,-0.109913793,-0.079470199,-0.052788845,0.166666667,0.010541627,0.130434005
0,0,0.25,0.100000128,0,-0.064748201,-0.041009464,0.142857143,0.004471373,0
-0.198718037,-0.166666967,-0.2,-0.136363629,-0.070217918,-0.038461538,-0.14254386,-0.125,0.013353343,-0.153846359
-0.127999883,0,0.125,-0.10526328,-0.135416667,-0.24,-0.301790281,0,0.042459866,0.090909234
0.146788837,-0.199999636,-0.222222222,-0.05882339,-0.048192771,-0.178947368,0.054945055,0,0.129213511,-0.0416659
-0.127999883,0.249999432,0.428571429,0.062499843,0.167721519,0.384615385,0.107638889,0,0.114427388,0
0,0.200000432,-0.2,0,0.08401084,0.046296296,0.006269592,-0.142857143,-0.016741268,0.217390583
0,0,-0.125,-0.176470601,-0.1175,-0.017699115,-0.010903427,0.166666667,-0.026106063,-0.178570942
0,-0.33333327,0,0,0.127478754,-0.072072072,-0.067716535,0.142857143,0.002330948,0.043477427
-0.215596365,-0.250000071,0,0,-0.025125628,-0.009708738,0.101351351,-0.25,0.06511579,-0.0416659
0.315789395,0,0,0,-0.046391753,-0.009803922,-0.016871166,0,0.030567948,0.391303846
-0.306666611,1,0.285714286,-0.214285733,0.037837838,-0.00990099,0.023400936,0.333333333,0,-0.156250855
0,-0.416666659,-0.222222222,-0.090908879,0,-0.05,-0.006097561,-0.125,-0.01377125,-0.037036377
0,0,0.285714286,-0.10000011,-0.03125,0.052631579,0.012269939,0,0.015037678,0
0,0,-0.444444444,0,-0.177419355,-0.04,0.03030303,0.142857143,-0.013756846,-0.192307186
0,0,0,0,0.196078431,-0.072916667,-0.042647059,0,-0.033261602,0.142856299
0,0,0,0.222222087,-0.010928962,-0.033707865,-0.056835637,0,0.007769188,0
0.198717607,0.142857236,0,0,0.005524862,0.023255814,0.034201954,0,0.050660594,0
0,0,0,0,0.008241758,0.011363636,-0.039370079,0,-0.004192944,0
0,0,0,0,0.008174387,-0.112359551,-0.016393443,-0.125,0.014736926,0
0,-0.125000071,0,-0.181818091,0,-0.050632911,-0.021666667,0.142857143,-0.022821635,-0.083333454
-0.165775163,0.142857236,0,0.111111247,0.016216216,-0.066666667,0.032367973,-0.125,0.054140122,0
-0.198718037,-0.125000071,0.6,0,-0.125,-0.014285714,0.052805281,-0.142857143,0.079557135,0
0,0,0,0,0.14893617,-0.057971014,0.02507837,0.166666667,-0.007462812,0
0,0,-0.125,0,-0.047619048,-0.153846154,-0.003058104,0,0.048871888,0
0,0.142857236,0,1.099999744,-0.038888889,0.109090909,0.003067485,0,-0.026881328,0
0,-0.125000071,0,0.142857143,-0.106936416,0.229508197,-0.012232416,0,-0.043278301,0
0,0,0.571428571,-0.208333282,0.084142395,0,-0.003095975,-0.142857143,-0.051010233,-0.045453716
0.495999738,-0.142857154,0.181818182,0,0.044776119,-0.04,-0.007763975,0,-0.009128346,0.047618137
0,0,-0.307692308,0.052631447,-0.102857143,0.027777778,-0.025039124,0.166666667,-0.006140866,-0.090909291
-0.331550685,0,0.111111111,0.050000064,0.076433121,-0.108108108,0.027287319,0,0.118434636,0.300000601
0,0.500000142,0.3,0,-0.085798817,-0.060606061,0.01875,0,0.020257949,-0.230769587
0,0,0,0,0.01618123,-0.048387097,-0.042944785,-0.142857143,0.023465378,0.050001144
-0.255999901,-0.333333396,0,0,-0.031847134,0.033898305,0.075320513,0,-0.03350971,0
0,0,-0.153846154,0,-0.016447368,0.016393443,0.034277198,0,-0.020072827,0.333332625
0.677419316,0,0,0,0.10367893,0.016129032,0.112391931,0.166666667,0.024208679,-0.14285732
-0.198718037,0,0.181818182,0,-0.012121212,0.126984127,0.028497409,0,-0.029090746,-0.083333454
0,0,0,0,0.030674847,-0.014084507,-0.011335013,0,-0.050561893,-0.090909291
0,1.666666919,-0.230769231,-0.047619106,-0.107142857,-0.014285714,0.100636943,0,-0.024655166,0
0,-0.125000071,0,0,0.12,-0.043478261,-0.034722222,0,-0.013144412,0
0,-0.142857154,0.3,-0.19999989,-0.029761905,0,0.009592326,0,-0.009221386,0
0,0,-0.230769231,0.749999943,-0.039877301,-0.03030303,-0.033254157,0,0.01861434,0
0,0.166666682,0.4,0.178571377,-0.009584665,-0.046875,0.012285012,-0.142857143,-0.029441556,0
0,-0.428571382,0,-0.090909091,0.048387097,-0.016393443,0.024271845,0.166666667,0.020920438,0
0,0.125,0,0.133333374,0.015384615,0.05,-0.021327014,-0.142857143,0.043032453,0.100000242
0.248000137,0,-0.285714286,-0.0294118,-0.03030303,-0.047619048,0.004842615,0.166666667,0.015717206,0.090909234
0,0,0,-0.090909091,0.00625,0.016666667,-0.018072289,-0.142857143,0,0
-0.40384614,0,0,0,0.090062112,0,0.042944785,0,0.081238376,0
0,0,0,0.266666626,0.037037037,-0.016393443,0.094117647,0.166666667,0.065742318,-0.124999354
0,0,0.2,0.052631645,0.076923077,-0.066666667,0.120430108,-0.142857143,-0.011330279,-0.047620085
0.344085842,0,0.166666667,-0.175000025,-0.101403139,0.035714286,-0.013435701,0,-0.033956021,0.050001144
0,-0.111111111,-0.071428571,0.257575795,0.050390439,-0.068965517,-0.071984436,0.166666667,-0.015817211,0
