SMMT,LASE,GCTS,KZIA,TECX,HOLO,ASNS,FTEL,DUO,DRUG,ATER,MBRX,MNPR,MIRA
0.02272725,-0.008928563,-0.000946005,-0.022222201,0.013888875,-0.097765365,-0.05172409,-0.219512206,-0.028571402,-0.091897787,-0.042979986,0.028138488,0.081081067,-0.050420218
-0.0037037,-0.009009,0.000946901,-0.090909111,0.013698617,-0.040247655,0.036363601,0,-0.007352934,0.023952145,-0.020958082,-0.042105224,0.022500038,0.026548647
-0.052044648,-0.0181818,0.000946095,0,-0.006756804,-0.100000012,0.078947399,0.015624985,-0.022222201,-0.005847948,-0.027522947,-0.076923132,0.036674722,-0.025862045
0.164705915,-0.055555611,0,-0.125,-0.01360543,-0.129032274,0.008130073,0.015384693,-0.001515222,0.105882319,-0.003144614,-0.144047614,0.011792498,0.008849549
0.030303001,0.009803912,-0.000945201,0,-0.020689581,0.222222292,0.008064508,-0.090909091,-0.051593294,0.06329785,0.006309161,0.001390886,0.027972002,-0.052631529
-0.016339854,0.009708729,0,0.028571401,0.021126683,-0.08080813,0,-0.1333334,-0.009599972,-0.019509713,-0.028213176,0.038888883,0.004535143,0.00925925
-0.013289024,-0.028846127,0.000946095,-0.027777752,-0.020689581,-0.018315019,-0.047999954,-0.08461533,-0.03392573,-0.045918383,-0.064516163,-0.0508022,-0.006771949,-0.09633029
0.043771002,0.049504904,0,0,-0.007042302,-0.055970151,0.050420118,-0.075630278,-0.030100346,0.032620315,0.017241363,0,-0.011363679,-0.005076137
0.116129079,0.043396232,0,-0.057142871,-0.049645399,-0.011857678,0,0.125000017,0.046551743,0.009839489,-0.016949137,-0.07042247,-0.048275872,-0.071428563
-0.031791946,-0.014466468,0.000945201,0.030303074,0,-0.075999985,-0.031999969,0.363636375,-0.028006622,0.025641001,0.006896566,-0.060606091,0.057971076,-0.043956066
-0.011940287,0.036697212,0.000944309,0,0,-0.047619063,-0.057851281,0.229629583,-0.030508386,-0.047500014,-0.013698658,-0.109677449,-0.121004611,-0.056321867
0.090634428,-0.017699098,0,0.029411736,-0.007462679,-0.077272762,0.022807038,0.096385596,0.022727187,0.016272976,0.031250013,-0.009057963,-0.046753203,0.010962246
0.044321355,-0.027027001,0,0,-0.01503758,0.083743883,0.003430488,0.423076835,-0.023931622,-0.00826448,0.013468041,-0.082266942,-0.035422374,0.036144616
0.084880683,-0.018518611,0,0,0.015267161,-0.027272745,0.008547001,0.003861,-0.015761828,0,0.019933595,-0.089641413,0.002824856,0.058139548
0.083129502,-0.028301861,-0.000943418,0,0,-0.042056058,0.025423807,0.088461549,0.138790057,0,0.019543916,0.109409285,0.033802852,0.043956001
0.027088119,0.009708729,0,0.057142871,-0.00751879,-0.053658555,-0.099173555,0.010600697,-0.089062473,-0.005208328,-0.05750801,-0.03747539,0.008174379,0.231578918
-0.147252758,-0.009615376,0,-0.081081067,0.030303001,0.005154659,0.027522909,-0.010489501,-0.001715244,-0.000523522,0.020339025,-0.004098369,-0.016216201,-0.068376006
-0.028350549,0.067961218,0.001888527,0,0.007352993,0.153846154,0,-0.003533566,0.032646036,-0.002095373,-0.003322216,0.008230469,-0.010989066,0.018348606
-0.001326227,0,-0.000942439,-0.117647084,-0.160583957,-0.079999966,0.008928563,0.046099332,0.069883519,0.128608991,0.0333333,0.028571425,0.047222245,-0.154054056
0.04116865,-0.036363709,0,0,0.09565215,-0.028985525,0,-0.020338963,-0.066874001,0.004651158,-0.04193552,0,-0.108753339,0.001064949
0.020408143,0.009434066,0.004716909,0,0.0079365,-0.039801051,0,-0.044982737,0.01666665,-0.004629625,0.043771084,0.025793673,0.104166712,0.021276576
-0.029999971,0.009345785,0.000938989,-0.099999984,0.007874008,-0.051813474,0.017699098,-0.003623185,-0.016393427,0.004651158,0.12903223,-0.019342341,-0.018867906,-0.031249971
-0.01030933,0.0185185,0,0,0.015625048,-0.071038213,0.017391288,0.00727272,-0.0333334,-0.046296361,-0.017142807,0.023668568,-0.021978066,0.460215086
0.067708332,-0.027272701,0,-0.037037089,0.0076923,-0.111764683,-0.030769243,-0.00722021,0,-0.009708729,-0.008720991,-0.013487417,-0.073033706,-0.175257753
0.03658539,0,0.003752342,0,0.00763358,10.9205295,-0.003527292,0.258181832,-0.05172409,-0.014705869,0.014662743,0.015624915,-0.060606076,-0.044642814
-0.016470629,-0.028037466,0,0.076923098,-0.015151501,0.594444444,0.017699098,0.034682047,0.052727243,-0.054726376,0.052023143,-0.051923041,0.054838736,-0.069158932
0.076555068,-0.009615376,0,-0.035714252,0.0153846,-0.257839721,0.03478268,-0.033519522,0.07081176,0.005263153,0.186813242,0.04868158,0.070336398,0.174698762
0.037777795,0.009708729,0.002336502,0,-0.015151501,-0.198122051,-0.016806806,-0.20231215,-0.091935453,-0.005235597,-0.041666681,0,-0.054285731,-0.008547001
-0.038543962,-0.051923041,-0.001398633,0.037037001,0,0.377049138,-0.025641002,0.101449265,-0.023090606,0.015789459,-0.057971059,-0.013539708,-0.003021145,-0.094827601
